type,latency,urevent
keyboard0,8384,1
keyboard0,8815,2
17,12009,3
12,12034,4
2,12209,5
2,12460,6
2,12718,7
2,12969,8
12,13135,9
2,13310,10
2,13561,11
2,13819,12
2,14070,13
12,14236,14
2,14411,15
2,14662,16
2,14920,17
2,15171,18
12,15337,19
2,15512,20
2,15763,21
2,16021,22
2,16272,23
12,16438,24
2,16614,25
2,16864,26
2,17122,27
2,17373,28
12,17539,29
2,17715,30
2,17965,31
2,18223,32
2,18474,33
12,18641,34
2,18816,35
2,19066,36
2,19325,37
2,19575,38
12,19742,39
2,19917,40
2,20167,41
2,20426,42
2,20676,43
12,20843,44
2,21018,45
2,21272,46
2,21673,47
12,21949,48
2,22132,49
2,22374,50
2,22632,51
2,22883,52
12,23049,53
2,23241,54
2,23475,55
2,23733,56
2,23984,57
12,24150,58
2,24326,59
2,24576,60
2,24834,61
2,25085,62
12,25251,63
2,25427,64
2,25678,65
2,25936,66
2,26186,67
12,26353,68
2,26528,69
2,26778,70
2,27037,71
2,27287,72
12,27454,73
2,27629,74
2,27879,75
2,28138,76
2,28388,77
12,28555,78
2,28730,79
2,28981,80
2,29239,81
2,29489,82
12,29657,83
2,29831,84
2,30082,85
2,30382,86
2,30590,87
12,30757,88
2,30932,89
2,31183,90
2,31442,91
2,31692,92
12,31859,93
2,32034,94
2,32284,95
2,32543,96
2,32793,97
12,32960,98
2,33135,99
2,33385,100
2,33644,101
2,33894,102
12,34061,103
2,34236,104
2,34486,105
2,34745,106
2,34995,107
12,35162,108
2,35337,109
2,35587,110
2,35846,111
2,36096,112
12,36263,113
2,36438,114
2,36688,115
2,36947,116
2,37197,117
12,37364,118
2,37539,119
2,37789,120
2,38048,121
2,38298,122
12,38465,123
2,38640,124
2,38890,125
2,39149,126
2,39399,127
12,39566,128
2,39742,129
2,39992,130
2,40250,131
2,40501,132
12,40667,133
2,40843,134
2,41093,135
2,41352,136
2,41602,137
12,41769,138
2,41944,139
2,42194,140
2,42453,141
2,42703,142
12,42870,143
2,43045,144
2,43295,145
2,43554,146
2,43804,147
12,43971,148
2,44146,149
2,44397,150
2,44655,151
2,44905,152
2,45164,153
2,45414,154
keyboard0,48377,155
keyboard0,48801,156
11,54265,157
1,54440,158
1,54690,159
1,54950,160
1,55200,161
11,55366,162
1,55541,163
1,55791,164
1,56050,165
1,56300,166
11,56467,167
1,56642,168
1,56892,169
1,57151,170
1,57401,171
11,57568,172
1,57744,173
1,57994,174
1,58252,175
1,58502,176
11,58669,177
1,58845,178
1,59095,179
1,59353,180
1,59603,181
11,59770,182
1,59946,183
1,60196,184
1,60455,185
1,60705,186
11,60872,187
1,61047,188
1,61297,189
1,61556,190
1,61806,191
11,61973,192
1,62148,193
1,62398,194
1,62657,195
1,62907,196
11,63074,197
1,63249,198
1,63499,199
1,63758,200
1,64008,201
11,64175,202
1,64350,203
1,64600,204
1,64859,205
1,65109,206
11,65276,207
1,65451,208
1,65702,209
1,65960,210
1,66211,211
11,66377,212
1,66552,213
1,66803,214
1,67061,215
1,67312,216
11,67478,217
1,67654,218
1,67904,219
1,68162,220
1,68413,221
11,68579,222
1,68755,223
1,69005,224
1,69263,225
1,69514,226
11,69680,227
1,69856,228
1,70106,229
1,70365,230
1,70615,231
11,70782,232
1,70957,233
1,71207,234
1,71466,235
1,71716,236
11,71883,237
1,72058,238
1,72308,239
1,72567,240
1,72817,241
11,72984,242
1,73159,243
1,73410,244
1,73668,245
1,73918,246
11,74085,247
1,74260,248
1,74511,249
1,74769,250
1,75019,251
11,75186,252
1,75361,253
1,75612,254
1,75871,255
1,76121,256
11,76288,257
1,76463,258
1,76713,259
1,76972,260
1,77222,261
11,77389,262
1,77564,263
1,77814,264
1,78073,265
1,78323,266
11,78490,267
1,78665,268
1,78915,269
1,79174,270
1,79424,271
11,79591,272
1,79766,273
1,80016,274
1,80275,275
1,80525,276
11,80692,277
1,80867,278
1,81117,279
1,81376,280
1,81626,281
11,81793,282
1,81968,283
1,82218,284
1,82477,285
1,82727,286
11,82894,287
1,83069,288
1,83319,289
1,83578,290
1,83828,291
11,83995,292
1,84171,293
1,84421,294
1,84679,295
1,84930,296
11,85096,297
1,85272,298
1,85522,299
1,85780,300
1,86031,301
11,86197,302
1,86373,303
1,86623,304
1,86882,305
1,87132,306
1,87390,307
1,87641,308
keyboard0,92554,309
13,92863,310
3,93038,311
3,93288,312
keyboard0,93371,313
3,93547,314
3,93797,315
13,93964,316
3,94139,317
3,94390,318
3,94648,319
3,94898,320
13,95065,321
3,95240,322
3,95491,323
3,95749,324
3,96000,325
13,96166,326
3,96341,327
3,96592,328
3,96850,329
3,97101,330
13,97267,331
3,97442,332
3,97693,333
3,97951,334
3,98202,335
13,98368,336
3,98544,337
3,98794,338
3,99052,339
3,99303,340
13,99470,341
3,99645,342
3,99895,343
3,100153,344
3,100404,345
13,100571,346
3,100746,347
3,100996,348
3,101255,349
3,101505,350
13,101672,351
3,101847,352
3,102097,353
3,102414,354
3,102665,355
13,102831,356
3,103007,357
3,103257,358
3,103515,359
3,103766,360
13,103932,361
3,104108,362
3,104358,363
3,104616,364
3,104867,365
13,105034,366
3,105209,367
3,105459,368
3,105718,369
3,105968,370
13,106135,371
3,106310,372
3,106560,373
3,106819,374
3,107069,375
13,107236,376
3,107411,377
3,107661,378
3,107920,379
3,108170,380
13,108337,381
3,108512,382
3,108763,383
3,109021,384
3,109271,385
13,109438,386
3,109613,387
3,109864,388
3,110122,389
3,110372,390
13,110539,391
3,110714,392
3,110965,393
3,111224,394
3,111474,395
13,111641,396
3,111815,397
3,112066,398
3,112325,399
3,112575,400
13,112742,401
3,112916,402
3,113167,403
3,113426,404
3,113676,405
13,113843,406
3,114018,407
3,114268,408
3,114527,409
3,114777,410
13,114944,411
3,115119,412
3,115369,413
3,115628,414
3,115878,415
13,116045,416
3,116220,417
3,116470,418
3,116729,419
3,116979,420
13,117146,421
3,117321,422
3,117571,423
3,117830,424
3,118080,425
13,118247,426
3,118423,427
3,118673,428
3,118931,429
3,119181,430
13,119348,431
3,119524,432
3,119774,433
3,120032,434
3,120282,435
13,120449,436
