type,latency,urevent
17,8700,1
11,8725,2
1,8900,3
1,9150,4
1,9409,5
1,9659,6
11,9826,7
1,10001,8
1,10251,9
1,10510,10
1,10760,11
11,10927,12
1,11102,13
1,11352,14
1,11611,15
1,11861,16
11,12028,17
1,12203,18
1,12453,19
1,12712,20
1,12962,21
11,13129,22
1,13305,23
1,13555,24
1,13813,25
1,14063,26
11,14230,27
1,14405,28
1,14655,29
1,14914,30
1,15164,31
11,15331,32
1,15507,33
1,15757,34
1,16015,35
1,16266,36
11,16432,37
1,16608,38
1,16858,39
1,17116,40
1,17367,41
11,17534,42
1,17709,43
1,17959,44
1,18218,45
1,18468,46
11,18635,47
1,18810,48
1,19060,49
1,19319,50
1,19569,51
11,19736,52
1,19911,53
1,20161,54
1,20420,55
1,20670,56
11,20837,57
1,21012,58
1,21263,59
1,21521,60
1,21771,61
11,21938,62
1,22113,63
1,22364,64
1,22622,65
1,22872,66
11,23039,67
1,23214,68
1,23465,69
1,23723,70
1,23974,71
11,24140,72
1,24315,73
1,24566,74
1,24824,75
1,25075,76
11,25242,77
1,25416,78
1,25667,79
1,25925,80
1,26176,81
11,26343,82
1,26518,83
1,26768,84
1,27027,85
1,27277,86
11,27444,87
1,27619,88
1,27869,89
1,28128,90
1,28378,91
11,28545,92
1,28720,93
1,28970,94
1,29229,95
1,29479,96
11,29646,97
1,29821,98
1,30071,99
1,30330,100
1,30580,101
11,30747,102
1,30922,103
1,31172,104
1,31431,105
1,31681,106
11,31848,107
1,32024,108
1,32274,109
1,32532,110
1,32782,111
11,32949,112
1,33125,113
1,33375,114
1,33633,115
1,33884,116
11,34051,117
1,34226,118
1,34476,119
1,34735,120
1,34985,121
11,35152,122
1,35327,123
1,35577,124
1,35836,125
1,36086,126
11,36253,127
1,36428,128
1,36678,129
1,36937,130
1,37187,131
11,37354,132
1,37529,133
1,37779,134
1,38038,135
1,38288,136
11,38455,137
1,38630,138
1,38881,139
1,39139,140
1,39390,141
11,39556,142
1,39731,143
1,39982,144
1,40240,145
1,40491,146
11,40657,147
1,40832,148
1,41083,149
1,41341,150
1,41592,151
1,41850,152
1,42101,153
12,56482,154
2,56657,155
2,56907,156
2,57166,157
2,57416,158
12,57583,159
2,57758,160
2,58008,161
2,58267,162
2,58517,163
12,58684,164
2,58859,165
2,59110,166
2,59369,167
2,59619,168
12,59785,169
2,59960,170
2,60211,171
2,60469,172
2,60720,173
12,60886,174
2,61061,175
2,61312,176
2,61570,177
2,61821,178
12,61987,179
