type,latency,urevent
boundary,3101,1
17,12065,2
11,12090,3
1,12265,4
1,12515,5
1,12774,6
1,13024,7
11,13191,8
1,13366,9
1,13616,10
1,13875,11
1,14125,12
11,14292,13
1,14467,14
1,14718,15
1,14976,16
1,15226,17
11,15393,18
1,15568,19
1,15819,20
1,16077,21
1,16327,22
11,16494,23
1,16669,24
1,16920,25
1,17178,26
1,17429,27
11,17596,28
1,17770,29
1,18021,30
1,18279,31
1,18530,32
11,18697,33
1,18871,34
1,19122,35
1,19380,36
1,19631,37
11,19798,38
1,19973,39
1,20223,40
1,20482,41
1,20732,42
11,20899,43
1,21074,44
1,21324,45
1,21583,46
1,21833,47
11,22000,48
1,22175,49
1,22425,50
1,22684,51
1,22934,52
11,23101,53
1,23276,54
1,23526,55
1,23785,56
1,24035,57
11,24202,58
1,24377,59
1,24627,60
1,24886,61
1,25136,62
11,25303,63
1,25479,64
1,25729,65
1,25987,66
1,26237,67
11,26404,68
1,26580,69
1,26830,70
1,27088,71
1,27338,72
11,27505,73
1,27681,74
1,27931,75
1,28190,76
1,28440,77
11,28607,78
1,28782,79
1,29032,80
1,29291,81
1,29541,82
11,29708,83
1,29883,84
1,30133,85
1,30392,86
1,30642,87
11,30809,88
1,30984,89
1,31234,90
1,31493,91
1,31743,92
11,31910,93
1,32085,94
1,32336,95
1,32594,96
1,32845,97
11,33011,98
1,33186,99
1,33437,100
1,33695,101
1,33946,102
11,34112,103
1,34287,104
1,34538,105
1,34796,106
1,35047,107
11,35213,108
1,35388,109
1,35639,110
1,35897,111
1,36148,112
11,36314,113
1,36490,114
1,36741,115
1,36998,116
1,37249,117
11,37416,118
1,37591,119
1,37841,120
1,38099,121
1,38350,122
11,38517,123
1,38692,124
1,38942,125
1,39201,126
1,39451,127
11,39618,128
1,39793,129
1,40043,130
1,40302,131
1,40552,132
11,40719,133
1,40894,134
1,41144,135
1,41403,136
1,41653,137
11,41820,138
1,41996,139
1,42246,140
1,42504,141
1,42754,142
11,42921,143
1,43097,144
1,43347,145
1,43605,146
1,43855,147
11,44022,148
1,44198,149
1,44448,150
1,44707,151
1,44957,152
1,45215,153
1,45465,154
12,58646,155
2,58821,156
2,59071,157
2,59330,158
2,59580,159
12,59747,160
2,59922,161
2,60172,162
2,60431,163
2,60681,164
12,60848,165
2,61023,166
2,61273,167
2,61532,168
2,61782,169
12,61950,170
2,62124,171
2,62374,172
2,62633,173
2,62883,174
12,63050,175
2,63226,176
2,63476,177
2,63734,178
2,63984,179
12,64151,180
2,64327,181
2,64577,182
2,64835,183
2,65085,184
12,65252,185
2,65428,186
2,65678,187
2,65937,188
2,66187,189
12,66354,190
2,66529,191
2,66779,192
2,67038,193
2,67288,194
12,67455,195
2,67630,196
2,67880,197
2,68139,198
2,68389,199
12,68556,200
2,68731,201
2,68981,202
2,69240,203
2,69490,204
12,69657,205
2,69832,206
2,70083,207
2,70341,208
2,70591,209
12,70758,210
2,70933,211
2,71184,212
2,71442,213
2,71693,214
12,71859,215
2,72034,216
2,72285,217
2,72543,218
2,72794,219
12,72960,220
2,73135,221
2,73386,222
2,73644,223
2,73895,224
12,74061,225
2,74237,226
2,74487,227
2,74745,228
2,74996,229
12,75163,230
2,75338,231
2,75588,232
2,75846,233
2,76097,234
12,76264,235
2,76439,236
2,76689,237
2,76948,238
2,77198,239
12,77365,240
2,77540,241
2,77790,242
2,78049,243
2,78299,244
12,78466,245
2,78641,246
2,78891,247
2,79150,248
2,79400,249
12,79567,250
2,79742,251
2,79993,252
2,80251,253
2,80501,254
12,80668,255
2,80844,256
2,81094,257
2,81352,258
2,81602,259
12,81769,260
2,81945,261
2,82195,262
2,82454,263
2,82704,264
12,82871,265
2,83046,266
2,83296,267
2,83555,268
2,83805,269
12,83972,270
2,84147,271
2,84397,272
2,84656,273
2,84906,274
12,85073,275
2,85248,276
2,85498,277
2,85757,278
2,86007,279
12,86174,280
2,86349,281
keyboard0,86493,282
2,86599,283
2,86858,284
2,87108,285
12,87275,286
2,87450,287
2,87700,288
2,87959,289
keyboard0,87993,290
2,88209,291
12,88376,292
2,88551,293
2,88801,294
2,89060,295
2,89311,296
12,89477,297
2,89652,298
2,89902,299
2,90161,300
2,90412,301
12,90578,302
2,90754,303
2,91004,304
2,91263,305
2,91513,306
2,91771,307
2,92022,308
14,97852,309
4,98028,310
4,98278,311
4,98536,312
4,98787,313
14,98953,314
4,99129,315
keyboard0,99310,316
4,99379,317
4,99638,318
4,99888,319
14,100055,320
4,100230,321
4,100480,322
4,100739,323
4,100989,324
14,101156,325
keyboard0,101274,326
4,101331,327
4,101581,328
4,101840,329
4,102090,330
14,102257,331
4,102432,332
4,102683,333
4,102941,334
4,103191,335
14,103358,336
4,103533,337
4,103784,338
4,104042,339
4,104292,340
14,104459,341
4,104634,342
4,104885,343
4,105143,344
4,105394,345
14,105561,346
4,105735,347
4,105986,348
4,106245,349
4,106495,350
14,106662,351
4,106836,352
4,107087,353
4,107346,354
4,107596,355
14,107763,356
4,107938,357
4,108188,358
4,108447,359
4,108697,360
14,108864,361
4,109039,362
4,109289,363
4,109548,364
4,109798,365
14,109965,366
4,110140,367
4,110390,368
4,110649,369
4,110899,370
14,111066,371
4,111241,372
4,111491,373
4,111750,374
4,112000,375
14,112167,376
keyboard0,112304,377
4,112342,378
4,112592,379
4,112851,380
4,113101,381
14,113268,382
4,113444,383
4,113694,384
4,113952,385
keyboard0,114197,386
4,114202,387
14,114369,388
4,114545,389
4,114795,390
4,115053,391
4,115303,392
14,115470,393
4,115646,394
4,115896,395
4,116155,396
4,116405,397
14,116572,398
4,116747,399
4,116997,400
4,117256,401
4,117506,402
14,117673,403
4,117848,404
4,118098,405
4,118357,406
4,118607,407
14,118774,408
4,118949,409
4,119200,410
4,119458,411
4,119708,412
14,119875,413
4,120050,414
4,120301,415
4,120559,416
4,120809,417
14,120976,418
4,121151,419
4,121402,420
4,121660,421
4,121911,422
14,122077,423
4,122252,424
4,122503,425
4,122761,426
4,123012,427
14,123179,428
4,123353,429
4,123604,430
4,123862,431
4,124113,432
14,124280,433
4,124455,434
4,124705,435
4,124963,436
4,125214,437
14,125381,438
4,125556,439
4,125806,440
4,126065,441
4,126315,442
14,126482,443
4,126657,444
4,126907,445
4,127166,446
4,127416,447
14,127583,448
4,127758,449
4,128008,450
4,128267,451
4,128517,452
14,128684,453
4,128859,454
4,129109,455
4,129368,456
4,129618,457
14,129785,458
4,129961,459
4,130211,460
4,130469,461
4,130719,462
4,130978,463
4,131228,464
13,136058,465
3,136234,466
3,136484,467
3,136743,468
3,136993,469
13,137160,470
3,137335,471
3,137585,472
3,137844,473
3,138094,474
13,138261,475
3,138436,476
3,138686,477
3,138945,478
3,139195,479
13,139362,480
3,139537,481
3,139787,482
3,140046,483
3,140296,484
13,140463,485
3,140638,486
3,140888,487
3,141147,488
3,141397,489
13,141564,490
3,141739,491
3,141989,492
3,142248,493
3,142498,494
13,142665,495
3,142840,496
3,143090,497
3,143349,498
3,143600,499
13,143766,500
3,143941,501
3,144191,502
3,144450,503
3,144701,504
13,144867,505
3,145042,506
3,145293,507
3,145551,508
3,145802,509
13,145968,510
3,146144,511
3,146394,512
3,146652,513
3,146903,514
13,147069,515
3,147245,516
3,147495,517
3,147753,518
3,148004,519
13,148170,520
3,148346,521
3,148596,522
3,148855,523
3,149105,524
13,149272,525
3,149447,526
3,149697,527
3,149956,528
3,150206,529
13,150373,530
3,150548,531
3,150798,532
3,151057,533
3,151307,534
13,151474,535
3,151649,536
3,151900,537
3,152158,538
3,152408,539
13,152575,540
3,152750,541
3,153001,542
3,153259,543
3,153509,544
13,153676,545
3,153851,546
3,154102,547
3,154361,548
3,154611,549
13,154778,550
3,154953,551
3,155203,552
3,155462,553
3,155712,554
13,155879,555
3,156054,556
3,156304,557
3,156563,558
3,156813,559
13,156980,560
3,157155,561
3,157405,562
3,157664,563
3,157914,564
13,158081,565
3,158256,566
3,158506,567
3,158765,568
3,159015,569
13,159182,570
3,159357,571
3,159607,572
3,159866,573
3,160116,574
13,160283,575
3,160458,576
3,160708,577
3,160967,578
3,161217,579
13,161384,580
3,161560,581
3,161810,582
3,162068,583
3,162318,584
13,162485,585
3,162661,586
3,162911,587
3,163169,588
3,163420,589
13,163586,590
3,163762,591
3,164012,592
3,164271,593
3,164521,594
13,164688,595
3,164863,596
3,165113,597
3,165372,598
3,165622,599
13,165789,600
3,165964,601
3,166214,602
keyboard0,166394,603
3,166473,604
3,166723,605
13,166890,606
3,167065,607
3,167316,608
3,167574,609
3,167824,610
13,167991,611
keyboard0,168012,612
3,168166,613
3,168417,614
3,168675,615
3,168925,616
3,169184,617
3,169434,618
16,175223,619
6,175399,620
6,175649,621
6,175908,622
6,176158,623
16,176325,624
6,176500,625
6,176750,626
6,177009,627
6,177259,628
16,177426,629
6,177601,630
6,177851,631
6,178110,632
6,178360,633
16,178527,634
6,178703,635
6,178953,636
6,179211,637
6,179461,638
16,179628,639
6,179803,640
6,180054,641
6,180312,642
6,180562,643
16,180729,644
6,180904,645
6,181155,646
6,181413,647
6,181664,648
16,181830,649
6,182005,650
6,182256,651
6,182516,652
6,182765,653
16,182932,654
