type,latency,urevent
17,11442,1
12,11467,2
2,11642,3
2,11892,4
2,12151,5
2,12401,6
12,12568,7
2,12743,8
2,12993,9
2,13252,10
2,13503,11
12,13669,12
2,13844,13
2,14095,14
2,14353,15
2,14603,16
12,14770,17
2,14945,18
2,15196,19
2,15454,20
2,15704,21
12,15871,22
2,16046,23
2,16297,24
2,16556,25
2,16806,26
12,16973,27
2,17148,28
2,17398,29
2,17657,30
2,17907,31
12,18074,32
2,18249,33
2,18499,34
2,18758,35
2,19008,36
12,19175,37
2,19350,38
2,19600,39
2,19859,40
2,20109,41
12,20276,42
2,20451,43
2,20701,44
2,20960,45
2,21210,46
12,21377,47
2,21552,48
2,21802,49
2,22061,50
2,22311,51
12,22478,52
2,22653,53
2,22903,54
2,23162,55
2,23412,56
12,23579,57
2,23754,58
2,24004,59
2,24263,60
2,24514,61
12,24680,62
2,24856,63
2,25106,64
2,25364,65
2,25615,66
12,25781,67
2,25957,68
2,26207,69
2,26465,70
2,26716,71
12,26882,72
2,27058,73
2,27308,74
2,27567,75
2,27817,76
12,27984,77
2,28159,78
2,28409,79
2,28668,80
2,28918,81
12,29085,82
2,29260,83
2,29510,84
2,29769,85
2,30019,86
12,30186,87
2,30361,88
2,30612,89
2,30870,90
2,31120,91
12,31287,92
2,31462,93
2,31713,94
2,31971,95
2,32221,96
12,32388,97
2,32563,98
2,32814,99
2,33073,100
2,33323,101
12,33490,102
2,33664,103
2,33915,104
2,34174,105
2,34424,106
12,34591,107
2,34766,108
2,35016,109
2,35275,110
2,35525,111
12,35692,112
2,35867,113
2,36117,114
2,36376,115
2,36626,116
12,36793,117
2,36968,118
2,37218,119
2,37477,120
2,37727,121
12,37894,122
2,38069,123
2,38319,124
2,38578,125
2,38828,126
12,38995,127
2,39170,128
2,39420,129
2,39679,130
2,39929,131
12,40096,132
2,40271,133
2,40521,134
2,40780,135
2,41030,136
12,41197,137
2,41373,138
2,41623,139
2,41881,140
2,42132,141
12,42298,142
2,42474,143
2,42724,144
2,42982,145
2,43233,146
12,43399,147
2,43575,148
2,43825,149
2,44084,150
2,44334,151
2,44592,152
2,44843,153
11,53635,154
1,53810,155
1,54060,156
1,54319,157
1,54569,158
11,54736,159
1,54911,160
