type,latency,urevent
17,45759,1
11,45783,2
1,45959,3
1,46209,4
1,46467,5
1,46717,6
11,46884,7
1,47060,8
1,47310,9
1,47569,10
1,47819,11
11,47986,12
1,48161,13
1,48411,14
1,48670,15
1,48920,16
11,49087,17
1,49262,18
1,49512,19
1,49771,20
1,50021,21
11,50188,22
1,50364,23
1,50614,24
1,50872,25
1,51122,26
11,51289,27
1,51464,28
1,51714,29
1,51973,30
1,52223,31
11,52390,32
1,52565,33
1,52815,34
1,53074,35
1,53325,36
11,53491,37
1,53666,38
1,53916,39
1,54175,40
1,54426,41
11,54593,42
1,54767,43
1,55018,44
1,55276,45
1,55527,46
11,55693,47
1,55869,48
1,56119,49
1,56377,50
1,56628,51
11,56794,52
1,56970,53
1,57220,54
1,57478,55
1,57729,56
11,57895,57
1,58071,58
1,58322,59
1,58580,60
1,58830,61
11,58997,62
1,59172,63
1,59422,64
1,59681,65
1,59931,66
11,60098,67
1,60273,68
1,60523,69
1,60782,70
1,61032,71
11,61199,72
1,61374,73
1,61625,74
1,61883,75
1,62133,76
11,62300,77
1,62475,78
1,62726,79
1,62984,80
1,63234,81
11,63401,82
1,63576,83
1,63827,84
1,64086,85
1,64336,86
11,64503,87
1,64678,88
1,64928,89
1,65187,90
1,65437,91
11,65604,92
1,65779,93
1,66029,94
1,66288,95
1,66538,96
11,66705,97
1,66880,98
1,67130,99
1,67389,100
1,67639,101
11,67806,102
1,67981,103
1,68231,104
1,68490,105
1,68740,106
11,68907,107
1,69082,108
1,69332,109
1,69591,110
1,69841,111
11,70008,112
1,70183,113
1,70433,114
1,70692,115
1,70942,116
11,71109,117
1,71284,118
1,71534,119
1,71793,120
1,72043,121
11,72210,122
1,72386,123
1,72636,124
1,72894,125
1,73145,126
11,73311,127
1,73487,128
1,73737,129
1,73995,130
1,74246,131
11,74412,132
1,74588,133
1,74838,134
1,75097,135
1,75347,136
11,75514,137
1,75689,138
1,75939,139
1,76198,140
1,76448,141
11,76615,142
1,76790,143
1,77040,144
1,77299,145
1,77549,146
11,77716,147
1,77891,148
1,78142,149
1,78400,150
1,78650,151
1,78909,152
1,79159,153
12,92356,154
2,92531,155
2,92782,156
2,93040,157
2,93290,158
12,93457,159
2,93632,160
2,93883,161
2,94141,162
2,94391,163
12,94558,164
2,94733,165
2,94984,166
2,95242,167
2,95493,168
12,95660,169
2,95834,170
2,96085,171
2,96344,172
2,96594,173
12,96761,174
2,96935,175
2,97186,176
2,97445,177
2,97695,178
12,97862,179
2,98037,180
2,98287,181
2,98546,182
2,98796,183
12,98963,184
2,99138,185
2,99388,186
2,99647,187
2,99897,188
12,100064,189
2,100240,190
2,100490,191
2,100748,192
2,100998,193
12,101165,194
2,101340,195
2,101590,196
2,101849,197
2,102099,198
12,102266,199
2,102441,200
2,102691,201
2,102950,202
2,103200,203
12,103367,204
2,103543,205
2,103793,206
2,104051,207
2,104301,208
12,104469,209
2,104644,210
2,104894,211
2,105152,212
2,105402,213
12,105569,214
2,105745,215
2,105995,216
2,106254,217
2,106504,218
12,106671,219
2,106846,220
2,107096,221
2,107355,222
2,107605,223
12,107772,224
2,107947,225
2,108198,226
2,108456,227
2,108706,228
12,108873,229
2,109048,230
2,109299,231
2,109557,232
2,109807,233
12,109974,234
2,110149,235
2,110400,236
2,110658,237
2,110908,238
12,111075,239
2,111250,240
2,111501,241
2,111759,242
2,112010,243
12,112177,244
2,112351,245
2,112602,246
2,112860,247
2,113111,248
12,113278,249
2,113452,250
2,113703,251
2,113961,252
2,114212,253
12,114379,254
2,114554,255
2,114804,256
2,115062,257
2,115313,258
12,115480,259
2,115655,260
2,115905,261
2,116164,262
2,116414,263
12,116581,264
2,116756,265
2,117006,266
2,117265,267
2,117515,268
12,117682,269
2,117857,270
2,118107,271
2,118366,272
2,118616,273
12,118783,274
2,118958,275
2,119208,276
2,119467,277
2,119717,278
12,119884,279
2,120060,280
2,120310,281
2,120568,282
2,120818,283
12,120985,284
2,121161,285
2,121411,286
