type,latency,urevent
17,19271,1
12,19296,2
2,19471,3
2,19722,4
2,19980,5
2,20230,6
12,20397,7
2,20573,8
2,20823,9
2,21081,10
2,21331,11
12,21498,12
2,21674,13
2,21924,14
2,22183,15
2,22433,16
12,22600,17
2,22775,18
2,23025,19
2,23284,20
2,23534,21
12,23701,22
2,23876,23
2,24126,24
2,24385,25
2,24635,26
12,24802,27
2,24977,28
2,25227,29
2,25486,30
2,25736,31
12,25903,32
2,26078,33
2,26328,34
2,26587,35
2,26837,36
12,27004,37
2,27179,38
2,27429,39
2,27688,40
2,27938,41
12,28105,42
2,28280,43
2,28530,44
2,28789,45
2,29040,46
12,29206,47
2,29381,48
2,29631,49
2,29890,50
2,30141,51
12,30307,52
2,30483,53
2,30733,54
2,30991,55
2,31242,56
12,31408,57
2,31584,58
2,31834,59
2,32092,60
2,32343,61
12,32509,62
2,32685,63
2,32935,64
2,33194,65
2,33444,66
12,33611,67
2,33786,68
2,34036,69
2,34295,70
2,34545,71
12,34712,72
2,34887,73
2,35137,74
2,35396,75
2,35646,76
12,35813,77
2,35988,78
2,36239,79
2,36497,80
2,36747,81
12,36914,82
2,37089,83
2,37340,84
2,37598,85
2,37848,86
12,38015,87
2,38190,88
2,38441,89
2,38699,90
2,38950,91
12,39117,92
2,39291,93
2,39542,94
2,39801,95
2,40051,96
12,40218,97
2,40393,98
2,40643,99
2,40902,100
2,41152,101
12,41319,102
2,41495,103
2,41745,104
2,42003,105
2,42253,106
12,42420,107
2,42595,108
2,42845,109
2,43104,110
2,43354,111
12,43521,112
2,43696,113
2,43946,114
2,44205,115
2,44455,116
12,44622,117
2,44797,118
2,45047,119
2,45306,120
2,45556,121
12,45724,122
2,45899,123
2,46149,124
2,46407,125
2,46657,126
12,46824,127
2,47000,128
2,47250,129
2,47508,130
2,47758,131
12,47925,132
2,48101,133
2,48351,134
2,48610,135
2,48860,136
12,49027,137
2,49202,138
2,49452,139
2,49711,140
2,49961,141
12,50128,142
2,50303,143
2,50553,144
2,50812,145
2,51062,146
12,51229,147
2,51404,148
2,51655,149
2,51913,150
2,52163,151
2,52422,152
2,52672,153
11,61514,154
1,61689,155
1,61940,156
1,62198,157
1,62449,158
11,62616,159
1,62791,160
1,63041,161
1,63299,162
1,63550,163
11,63717,164
1,63892,165
1,64142,166
1,64401,167
1,64651,168
11,64818,169
1,64993,170
1,65243,171
1,65502,172
1,65752,173
11,65919,174
1,66094,175
1,66344,176
1,66603,177
1,66853,178
11,67020,179
1,67195,180
1,67446,181
1,67704,182
1,67954,183
11,68121,184
1,68297,185
1,68547,186
1,68805,187
1,69055,188
11,69222,189
1,69398,190
1,69648,191
1,69907,192
1,70157,193
11,70324,194
1,70499,195
1,70749,196
1,71008,197
1,71258,198
11,71425,199
1,71600,200
1,71850,201
1,72109,202
1,72359,203
11,72526,204
1,72701,205
1,72951,206
1,73210,207
1,73460,208
11,73627,209
1,73802,210
1,74052,211
1,74311,212
1,74561,213
11,74728,214
1,74903,215
1,75153,216
1,75412,217
1,75662,218
