type,latency,urevent
keyboard0,4,1
boundary,1361,2
keyboard0,4821,3
17,4987,4
11,5013,5
1,5187,6
1,5438,7
1,5696,8
1,5947,9
11,6114,10
1,6288,11
1,6539,12
1,6797,13
1,7048,14
11,7215,15
1,7390,16
1,7640,17
1,7899,18
1,8149,19
11,8316,20
1,8491,21
1,8741,22
1,9000,23
1,9250,24
11,9417,25
1,9592,26
1,9842,27
1,10101,28
1,10351,29
11,10518,30
1,10693,31
1,10943,32
1,11202,33
1,11452,34
11,11619,35
1,11794,36
1,12044,37
1,12303,38
1,12553,39
11,12720,40
1,12896,41
1,13146,42
1,13404,43
1,13654,44
11,13821,45
1,13997,46
1,14247,47
1,14505,48
1,14755,49
11,14922,50
1,15098,51
1,15348,52
1,15607,53
1,15857,54
11,16024,55
1,16199,56
1,16449,57
1,16708,58
1,16958,59
11,17125,60
1,17300,61
1,17550,62
1,17809,63
1,18059,64
11,18226,65
1,18401,66
1,18651,67
1,18910,68
1,19160,69
11,19327,70
1,19502,71
1,19753,72
1,20011,73
1,20261,74
11,20428,75
1,20603,76
1,20854,77
1,21112,78
1,21363,79
11,21529,80
1,21704,81
1,21955,82
1,22213,83
1,22464,84
11,22630,85
1,22805,86
1,23056,87
1,23314,88
1,23565,89
11,23731,90
1,23907,91
1,24157,92
1,24415,93
1,24666,94
11,24833,95
1,25008,96
1,25258,97
1,25516,98
1,25767,99
11,25934,100
1,26109,101
1,26359,102
1,26618,103
1,26868,104
11,27035,105
1,27210,106
1,27460,107
1,27719,108
1,27969,109
11,28136,110
1,28311,111
1,28561,112
1,28820,113
1,29070,114
11,29237,115
1,29413,116
1,29663,117
1,29921,118
1,30171,119
11,30338,120
1,30514,121
1,30764,122
1,31022,123
1,31272,124
11,31439,125
1,31615,126
1,31865,127
1,32124,128
1,32374,129
11,32541,130
1,32716,131
1,32966,132
1,33225,133
1,33475,134
11,33642,135
1,33817,136
1,34067,137
1,34326,138
1,34576,139
11,34743,140
1,34918,141
1,35168,142
1,35427,143
1,35677,144
11,35844,145
1,36019,146
1,36269,147
1,36528,148
1,36778,149
11,36945,150
1,37120,151
1,37370,152
1,37629,153
1,37880,154
1,38138,155
1,38388,156
keyboard0,38504,157
keyboard0,51394,158
12,51577,159
2,51752,160
2,52002,161
2,52261,162
2,52511,163
12,52678,164
2,52853,165
2,53103,166
2,53362,167
2,53612,168
12,53779,169
2,53954,170
2,54204,171
2,54463,172
2,54713,173
12,54880,174
2,55055,175
2,55305,176
2,55564,177
2,55815,178
12,55981,179
2,56156,180
2,56407,181
2,56665,182
2,56916,183
12,57082,184
2,57257,185
2,57508,186
2,57766,187
2,58017,188
12,58183,189
2,58359,190
2,58609,191
2,58867,192
2,59118,193
12,59284,194
2,59460,195
2,59710,196
2,59969,197
2,60219,198
12,60386,199
2,60561,200
2,60811,201
2,61070,202
2,61320,203
12,61487,204
2,61662,205
2,61912,206
2,62171,207
2,62421,208
12,62588,209
2,62763,210
2,63013,211
2,63272,212
2,63522,213
12,63689,214
2,63864,215
2,64115,216
2,64373,217
2,64623,218
12,64790,219
2,64965,220
2,65216,221
2,65474,222
2,65725,223
12,65891,224
2,66067,225
2,66317,226
2,66576,227
2,66826,228
12,66993,229
2,67168,230
2,67418,231
2,67677,232
2,67927,233
12,68094,234
2,68269,235
2,68519,236
2,68778,237
2,69028,238
12,69195,239
2,69370,240
2,69620,241
2,69879,242
2,70129,243
12,70296,244
2,70471,245
2,70721,246
2,70980,247
2,71230,248
12,71397,249
2,71572,250
2,71822,251
2,72081,252
2,72331,253
12,72498,254
2,72673,255
2,72923,256
2,73182,257
2,73432,258
12,73599,259
2,73775,260
2,74025,261
2,74283,262
2,74534,263
12,74700,264
2,74876,265
2,75126,266
2,75384,267
2,75635,268
12,75801,269
2,75977,270
2,76227,271
2,76486,272
2,76736,273
12,76903,274
2,77078,275
2,77328,276
2,77587,277
2,77837,278
12,78004,279
2,78179,280
2,78429,281
2,78688,282
2,78938,283
12,79105,284
2,79280,285
2,79531,286
2,79789,287
2,80039,288
12,80206,289
2,80381,290
2,80632,291
2,80890,292
2,81140,293
12,81307,294
2,81482,295
2,81733,296
2,81991,297
2,82242,298
12,82409,299
2,82583,300
2,82834,301
2,83092,302
2,83343,303
12,83510,304
2,83684,305
2,83935,306
2,84193,307
2,84444,308
2,84703,309
2,84953,310
keyboard0,85077,311
keyboard0,90539,312
14,90767,313
4,90942,314
4,91192,315
4,91451,316
4,91701,317
14,91868,318
4,92043,319
4,92294,320
4,92552,321
4,92802,322
14,92969,323
4,93144,324
4,93395,325
4,93653,326
4,93903,327
14,94070,328
4,94245,329
4,94496,330
4,94755,331
4,95005,332
14,95172,333
4,95346,334
4,95597,335
4,95856,336
4,96106,337
14,96273,338
4,96448,339
4,96698,340
4,96957,341
4,97207,342
14,97374,343
4,97549,344
4,97799,345
4,98058,346
4,98308,347
14,98475,348
4,98650,349
4,98900,350
4,99159,351
4,99409,352
14,99576,353
4,99751,354
4,100001,355
4,100260,356
4,100510,357
14,100677,358
4,100852,359
4,101102,360
4,101361,361
4,101611,362
14,101778,363
4,101953,364
4,102203,365
4,102462,366
4,102712,367
14,102879,368
4,103055,369
4,103305,370
4,103563,371
4,103813,372
14,103980,373
4,104156,374
4,104406,375
4,104664,376
4,104915,377
14,105081,378
4,105257,379
4,105507,380
4,105766,381
4,106016,382
14,106183,383
4,106358,384
4,106608,385
4,106867,386
4,107117,387
14,107284,388
4,107459,389
4,107709,390
4,107968,391
4,108218,392
14,108385,393
4,108560,394
4,108811,395
4,109069,396
4,109319,397
14,109486,398
4,109661,399
4,109912,400
4,110170,401
4,110420,402
14,110587,403
4,110763,404
4,111013,405
4,111271,406
4,111522,407
14,111689,408
4,111863,409
4,112114,410
4,112372,411
4,112623,412
14,112790,413
4,112964,414
4,113215,415
4,113473,416
4,113724,417
14,113891,418
4,114066,419
4,114316,420
4,114574,421
4,114825,422
14,114992,423
4,115167,424
4,115417,425
4,115676,426
4,115926,427
14,116093,428
4,116268,429
4,116518,430
4,116777,431
4,117027,432
14,117194,433
4,117369,434
4,117619,435
4,117878,436
4,118128,437
14,118295,438
4,118470,439
4,118720,440
4,118979,441
4,119229,442
14,119396,443
4,119572,444
4,119822,445
4,120080,446
4,120330,447
14,120497,448
4,120673,449
4,120923,450
4,121181,451
4,121431,452
14,121598,453
4,121774,454
4,122024,455
4,122283,456
4,122533,457
14,122700,458
4,122875,459
4,123125,460
4,123384,461
4,123634,462
4,123892,463
4,124143,464
keyboard0,124300,465
keyboard0,128765,466
13,128973,467
3,129148,468
3,129398,469
3,129657,470
3,129907,471
13,130074,472
3,130249,473
3,130499,474
3,130758,475
3,131008,476
13,131175,477
3,131350,478
3,131600,479
3,131859,480
3,132109,481
13,132276,482
3,132451,483
3,132701,484
3,132960,485
3,133211,486
13,133377,487
3,133552,488
3,133803,489
3,134061,490
3,134312,491
13,134478,492
3,134653,493
3,134904,494
3,135162,495
3,135413,496
13,135579,497
3,135755,498
3,136005,499
3,136263,500
3,136514,501
13,136680,502
3,136856,503
3,137106,504
3,137364,505
3,137615,506
13,137781,507
3,137957,508
3,138207,509
3,138466,510
3,138716,511
13,138883,512
3,139058,513
3,139308,514
3,139567,515
3,139817,516
13,139984,517
3,140159,518
3,140409,519
3,140668,520
3,140918,521
13,141085,522
3,141260,523
3,141511,524
3,141769,525
3,142019,526
13,142186,527
3,142361,528
3,142612,529
3,142870,530
3,143120,531
13,143287,532
3,143463,533
3,143713,534
3,143972,535
3,144222,536
13,144389,537
3,144564,538
3,144814,539
3,145073,540
3,145323,541
13,145490,542
3,145665,543
3,145915,544
3,146174,545
3,146424,546
13,146591,547
3,146766,548
3,147016,549
3,147275,550
3,147525,551
13,147692,552
3,147868,553
3,148118,554
3,148376,555
3,148626,556
13,148793,557
3,148968,558
3,149218,559
3,149477,560
3,149727,561
13,149894,562
3,150069,563
3,150319,564
3,150578,565
3,150828,566
13,150995,567
3,151170,568
3,151420,569
3,151679,570
3,151930,571
13,152096,572
3,152272,573
3,152522,574
3,152780,575
3,153031,576
13,153197,577
3,153373,578
3,153623,579
3,153881,580
3,154132,581
13,154298,582
3,154474,583
3,154724,584
3,154983,585
3,155233,586
13,155400,587
3,155575,588
3,155825,589
3,156084,590
3,156334,591
13,156501,592
3,156676,593
3,156926,594
3,157185,595
3,157435,596
13,157602,597
3,157777,598
3,158028,599
3,158286,600
3,158536,601
13,158703,602
3,158878,603
3,159129,604
3,159387,605
3,159637,606
13,159804,607
3,159979,608
3,160230,609
3,160488,610
3,160739,611
13,160906,612
3,161080,613
3,161331,614
3,161589,615
3,161840,616
3,162098,617
3,162348,618
keyboard0,162498,619
keyboard0,168010,620
16,168138,621
6,168313,622
6,168563,623
6,168822,624
6,169072,625
16,169239,626
6,169414,627
6,169665,628
6,169923,629
6,170173,630
16,170340,631
6,170515,632
6,170766,633
6,171024,634
6,171274,635
16,171441,636
6,171616,637
6,171867,638
6,172125,639
6,172376,640
16,172542,641
6,172717,642
6,172968,643
6,173226,644
6,173477,645
16,173643,646
6,173818,647
6,174069,648
6,174327,649
6,174578,650
16,174745,651
6,174920,652
6,175170,653
6,175428,654
6,175679,655
16,175846,656
6,176021,657
6,176271,658
6,176529,659
6,176780,660
16,176947,661
6,177122,662
6,177372,663
6,177631,664
6,177881,665
16,178048,666
6,178223,667
6,178473,668
6,178732,669
6,178982,670
16,179149,671
6,179324,672
6,179574,673
6,179833,674
6,180083,675
16,180250,676
6,180426,677
6,180676,678
6,180934,679
6,181184,680
16,181351,681
6,181527,682
6,181777,683
6,182035,684
6,182286,685
16,182452,686
6,182628,687
6,182878,688
6,183137,689
6,183387,690
16,183554,691
6,183729,692
6,183979,693
6,184238,694
6,184488,695
16,184655,696
6,184830,697
6,185080,698
6,185339,699
6,185589,700
16,185756,701
6,185931,702
6,186181,703
6,186440,704
6,186690,705
16,186857,706
6,187032,707
6,187282,708
6,187541,709
6,187791,710
16,187958,711
6,188133,712
6,188383,713
6,188642,714
6,188893,715
16,189059,716
6,189234,717
6,189485,718
6,189744,719
6,189994,720
16,190161,721
6,190336,722
6,190586,723
6,190844,724
6,191095,725
16,191261,726
6,191437,727
6,191687,728
6,191945,729
6,192196,730
16,192362,731
6,192538,732
6,192788,733
6,193047,734
6,193297,735
16,193464,736
6,193639,737
6,193890,738
6,194148,739
6,194398,740
16,194565,741
6,194740,742
6,194990,743
6,195249,744
6,195499,745
16,195666,746
6,195841,747
6,196092,748
6,196350,749
6,196600,750
16,196767,751
6,196942,752
6,197193,753
6,197451,754
6,197701,755
16,197869,756
6,198043,757
6,198294,758
6,198553,759
6,198803,760
16,198970,761
6,199145,762
6,199395,763
6,199654,764
6,199904,765
16,200071,766
6,200245,767
6,200496,768
6,200755,769
6,201005,770
6,201264,771
6,201514,772
keyboard0,201765,773
keyboard0,206185,774
15,206328,775
5,206502,776
5,206752,777
5,207011,778
5,207261,779
15,207428,780
5,207603,781
5,207854,782
5,208112,783
5,208362,784
15,208529,785
5,208704,786
5,208955,787
5,209213,788
5,209463,789
15,209630,790
5,209806,791
5,210056,792
5,210315,793
5,210565,794
15,210732,795
5,210907,796
5,211157,797
