type,latency,urevent
keyboard0,575,1
boundary,641,2
keyboard0,690,3
keyboard0,12415,4
keyboard0,14891,5
keyboard0,16156,6
17,16828,7
12,16853,8
2,17028,9
2,17279,10
2,17537,11
2,17787,12
keyboard0,17851,13
12,17954,14
2,18129,15
2,18380,16
2,18638,17
2,18889,18
12,19056,19
2,19230,20
2,19481,21
2,19739,22
2,19990,23
12,20157,24
2,20331,25
2,20582,26
2,20841,27
2,21091,28
12,21258,29
2,21433,30
2,21683,31
2,21942,32
2,22192,33
12,22359,34
2,22534,35
2,22784,36
2,23043,37
2,23293,38
12,23460,39
2,23635,40
2,23885,41
2,24144,42
2,24394,43
12,24561,44
2,24736,45
2,24986,46
2,25245,47
2,25495,48
12,25662,49
2,25837,50
2,26087,51
2,26346,52
2,26596,53
12,26763,54
2,26939,55
2,27189,56
2,27447,57
2,27697,58
12,27864,59
2,28040,60
2,28290,61
2,28548,62
2,28798,63
12,28965,64
2,29141,65
2,29391,66
2,29650,67
2,29900,68
12,30067,69
2,30242,70
2,30492,71
2,30751,72
2,31001,73
12,31168,74
2,31343,75
2,31593,76
2,31852,77
2,32102,78
12,32269,79
2,32444,80
2,32695,81
2,32953,82
2,33203,83
12,33370,84
2,33545,85
2,33796,86
2,34054,87
2,34304,88
12,34471,89
2,34646,90
2,34897,91
2,35155,92
2,35406,93
12,35572,94
2,35747,95
2,35998,96
2,36257,97
2,36507,98
12,36674,99
2,36848,100
2,37099,101
2,37357,102
2,37608,103
12,37775,104
2,37950,105
2,38200,106
2,38458,107
2,38709,108
12,38876,109
2,39051,110
2,39301,111
2,39560,112
2,39810,113
12,39977,114
2,40152,115
2,40403,116
2,40661,117
2,40911,118
12,41078,119
2,41253,120
2,41503,121
2,41762,122
2,42012,123
12,42179,124
2,42354,125
2,42604,126
2,42863,127
2,43113,128
12,43280,129
2,43456,130
2,43706,131
2,43964,132
2,44214,133
12,44382,134
2,44557,135
2,44807,136
2,45065,137
2,45315,138
12,45482,139
2,45658,140
2,45908,141
2,46167,142
2,46417,143
12,46584,144
2,46759,145
2,47009,146
2,47268,147
2,47518,148
12,47685,149
2,47860,150
2,48110,151
2,48369,152
2,48619,153
12,48786,154
2,48961,155
2,49211,156
2,49470,157
2,49720,158
2,49979,159
2,50229,160
11,59021,161
1,59197,162
1,59447,163
1,59705,164
1,59955,165
11,60122,166
