type,latency,urevent
keyboard0,7,1
keyboard0,1673,2
keyboard0,3475,3
keyboard0,6135,4
keyboard0,9381,5
keyboard0,16382,6
keyboard0,18922,7
keyboard0,22827,8
keyboard0,24180,9
keyboard0,27383,10
12,41858,11
2,42033,12
2,42283,13
2,42542,14
2,42792,15
12,42959,16
2,43134,17
2,43384,18
2,43643,19
2,43893,20
12,44060,21
2,44235,22
2,44485,23
2,44744,24
2,44994,25
12,45161,26
2,45336,27
2,45587,28
2,45845,29
2,46095,30
12,46262,31
2,46437,32
2,46688,33
2,46946,34
2,47197,35
12,47363,36
2,47538,37
2,47789,38
2,48047,39
2,48298,40
12,48464,41
2,48640,42
2,48890,43
2,49148,44
2,49399,45
12,49566,46
2,49741,47
2,49991,48
2,50249,49
2,50500,50
12,50667,51
2,50842,52
2,51092,53
2,51350,54
2,51601,55
12,51768,56
2,51943,57
2,52193,58
2,52452,59
2,52702,60
12,52869,61
2,53044,62
2,53294,63
2,53553,64
2,53803,65
12,53970,66
2,54145,67
2,54395,68
2,54654,69
2,54904,70
12,55071,71
2,55247,72
2,55497,73
2,55755,74
2,56005,75
12,56172,76
2,56348,77
2,56598,78
2,56856,79
2,57106,80
12,57273,81
2,57449,82
2,57699,83
2,57958,84
2,58208,85
12,58375,86
2,58550,87
2,58800,88
2,59059,89
2,59309,90
12,59476,91
2,59651,92
2,59901,93
2,60160,94
2,60410,95
12,60577,96
2,60752,97
2,61002,98
2,61261,99
2,61511,100
12,61678,101
2,61853,102
2,62103,103
2,62362,104
2,62612,105
12,62779,106
2,62954,107
2,63204,108
2,63463,109
2,63714,110
12,63880,111
2,64055,112
2,64305,113
2,64564,114
2,64815,115
12,64981,116
2,65156,117
2,65407,118
2,65665,119
2,65916,120
12,66082,121
2,66258,122
2,66508,123
2,66767,124
2,67017,125
12,67184,126
2,67359,127
2,67609,128
2,67868,129
2,68118,130
12,68285,131
2,68460,132
2,68710,133
2,68969,134
2,69219,135
12,69386,136
2,69561,137
2,69811,138
2,70070,139
2,70320,140
12,70487,141
2,70662,142
2,70913,143
2,71171,144
2,71421,145
12,71588,146
2,71763,147
2,72014,148
2,72272,149
2,72522,150
12,72689,151
2,72864,152
2,73115,153
2,73373,154
2,73624,155
12,73791,156
2,73965,157
2,74216,158
2,74474,159
2,74725,160
2,74983,161
2,75233,162
17,80089,163
11,80113,164
1,80289,165
1,80539,166
1,80798,167
1,81048,168
11,81215,169
1,81390,170
1,81640,171
1,81899,172
1,82149,173
11,82316,174
1,82491,175
1,82741,176
1,83000,177
1,83250,178
11,83417,179
1,83592,180
1,83843,181
1,84101,182
1,84351,183
11,84518,184
1,84693,185
1,84944,186
1,85202,187
1,85452,188
11,85619,189
1,85794,190
1,86045,191
1,86303,192
1,86554,193
11,86720,194
1,86895,195
1,87146,196
1,87404,197
1,87655,198
11,87821,199
1,87997,200
1,88247,201
1,88505,202
1,88756,203
11,88922,204
1,89098,205
1,89348,206
1,89606,207
1,89857,208
11,90024,209
1,90199,210
1,90449,211
1,90708,212
1,90958,213
11,91125,214
1,91300,215
1,91550,216
1,91809,217
1,92060,218
11,92226,219
1,92401,220
1,92651,221
1,92910,222
1,93160,223
11,93327,224
1,93502,225
1,93753,226
1,94011,227
1,94261,228
11,94428,229
1,94603,230
1,94854,231
1,95112,232
1,95362,233
11,95529,234
1,95705,235
1,95955,236
1,96214,237
1,96464,238
11,96631,239
1,96806,240
1,97056,241
1,97315,242
1,97565,243
11,97732,244
1,97907,245
1,98157,246
1,98416,247
1,98666,248
11,98833,249
1,99008,250
1,99258,251
1,99517,252
1,99767,253
11,99934,254
1,100109,255
1,100359,256
1,100618,257
1,100868,258
11,101035,259
1,101210,260
1,101460,261
1,101719,262
1,101969,263
11,102136,264
1,102311,265
1,102562,266
1,102820,267
1,103070,268
11,103237,269
1,103412,270
1,103662,271
1,103921,272
1,104171,273
11,104338,274
1,104514,275
1,104764,276
1,105022,277
1,105273,278
11,105439,279
1,105615,280
1,105865,281
1,106123,282
1,106374,283
11,106540,284
1,106716,285
1,106966,286
1,107225,287
1,107475,288
11,107642,289
1,107817,290
1,108067,291
1,108326,292
1,108576,293
11,108743,294
1,108918,295
1,109168,296
1,109427,297
1,109677,298
11,109844,299
1,110019,300
1,110270,301
1,110528,302
1,110778,303
11,110945,304
1,111120,305
1,111371,306
1,111629,307
1,111880,308
11,112046,309
1,112221,310
1,112472,311
1,112730,312
1,112981,313
1,113239,314
1,113489,315
17,113665,316
