type,latency,urevent
255,1348,1
255,6003,2
17,15125,3
11,15150,4
1,15325,5
1,15575,6
1,15834,7
1,16084,8
11,16251,9
1,16426,10
1,16677,11
1,16935,12
1,17185,13
11,17352,14
1,17527,15
1,17778,16
1,18036,17
1,18286,18
11,18453,19
1,18628,20
1,18879,21
1,19138,22
1,19388,23
11,19555,24
1,19730,25
1,19980,26
1,20239,27
1,20489,28
11,20656,29
1,20831,30
1,21081,31
1,21340,32
1,21590,33
11,21757,34
1,21932,35
1,22182,36
1,22441,37
1,22691,38
11,22858,39
1,23033,40
1,23283,41
1,23542,42
1,23792,43
11,23959,44
1,24134,45
1,24384,46
1,24643,47
1,24893,48
11,25060,49
1,25235,50
1,25485,51
1,25744,52
1,25994,53
11,26161,54
1,26336,55
1,26586,56
1,26845,57
1,27095,58
11,27262,59
1,27438,60
1,27688,61
1,27946,62
1,28196,63
11,28363,64
1,28539,65
1,28789,66
1,29047,67
1,29298,68
11,29464,69
1,29640,70
1,29890,71
1,30149,72
1,30399,73
11,30566,74
1,30741,75
1,30991,76
1,31250,77
1,31500,78
11,31667,79
1,31842,80
1,32092,81
1,32351,82
1,32601,83
11,32768,84
1,32943,85
1,33194,86
1,33452,87
1,33702,88
11,33869,89
1,34045,90
1,34295,91
1,34553,92
1,34803,93
11,34970,94
1,35145,95
1,35396,96
1,35654,97
1,35905,98
11,36072,99
1,36246,100
1,36497,101
1,36755,102
1,37006,103
11,37172,104
1,37348,105
1,37598,106
1,37856,107
1,38107,108
11,38274,109
1,38449,110
1,38699,111
1,38957,112
1,39208,113
11,39375,114
1,39550,115
1,39800,116
1,40059,117
1,40309,118
11,40476,119
1,40651,120
1,40901,121
1,41160,122
1,41410,123
11,41577,124
1,41752,125
1,42002,126
1,42261,127
1,42511,128
11,42678,129
1,42854,130
1,43104,131
1,43362,132
1,43612,133
11,43779,134
1,43955,135
1,44205,136
1,44463,137
1,44713,138
11,44880,139
1,45056,140
1,45306,141
keyboard0,45480,142
1,45565,143
1,45815,144
11,45982,145
1,46157,146
1,46407,147
1,46666,148
1,46916,149
11,47083,150
1,47258,151
1,47508,152
keyboard0,47617,153
1,47767,154
1,48017,155
keyboard0,48062,156
1,48276,157
1,48526,158
keyboard0,50158,159
12,61764,160
2,61940,161
2,62190,162
2,62448,163
2,62699,164
12,62865,165
2,63041,166
2,63291,167
2,63549,168
2,63800,169
12,63966,170
2,64142,171
