type,latency,urevent
17,10013,1
12,10038,2
2,10214,3
2,10464,4
2,10722,5
2,10973,6
12,11139,7
2,11315,8
2,11565,9
2,11823,10
2,12074,11
12,12240,12
2,12416,13
2,12666,14
2,12925,15
2,13175,16
12,13342,17
2,13517,18
2,13767,19
2,14026,20
2,14276,21
12,14443,22
2,14618,23
2,14868,24
2,15127,25
2,15377,26
12,15544,27
2,15719,28
2,15970,29
2,16228,30
2,16478,31
12,16645,32
2,16820,33
2,17071,34
2,17329,35
2,17579,36
12,17746,37
2,17921,38
2,18172,39
2,18430,40
2,18681,41
12,18848,42
2,19022,43
2,19273,44
2,19531,45
2,19782,46
12,19949,47
2,20123,48
2,20374,49
2,20633,50
2,20883,51
12,21050,52
2,21225,53
2,21475,54
2,21734,55
2,21984,56
12,22151,57
2,22326,58
2,22576,59
2,22835,60
2,23085,61
12,23252,62
2,23427,63
2,23677,64
2,23936,65
2,24186,66
12,24353,67
2,24528,68
2,24778,69
2,25037,70
2,25287,71
12,25454,72
2,25629,73
2,25879,74
2,26138,75
2,26388,76
12,26555,77
2,26731,78
2,26981,79
2,27239,80
2,27489,81
12,27656,82
2,27832,83
2,28082,84
2,28340,85
2,28590,86
12,28757,87
2,28933,88
2,29183,89
2,29442,90
2,29692,91
12,29859,92
2,30034,93
2,30284,94
2,30543,95
2,30793,96
12,30960,97
2,31135,98
2,31385,99
2,31644,100
2,31894,101
12,32061,102
2,32236,103
2,32487,104
2,32745,105
2,32995,106
12,33162,107
2,33337,108
2,33588,109
2,33846,110
2,34096,111
12,34263,112
2,34438,113
2,34689,114
2,34947,115
2,35198,116
12,35364,117
2,35539,118
2,35790,119
2,36048,120
2,36299,121
12,36465,122
2,36640,123
2,36891,124
2,37149,125
2,37400,126
12,37566,127
2,37742,128
2,37992,129
2,38250,130
2,38501,131
12,38668,132
2,38843,133
2,39093,134
2,39351,135
2,39602,136
12,39769,137
2,39944,138
2,40194,139
2,40453,140
2,40703,141
12,40870,142
2,41045,143
2,41295,144
2,41554,145
2,41804,146
12,41971,147
2,42146,148
2,42396,149
2,42655,150
2,42905,151
2,43164,152
2,43414,153
11,52206,154
1,52382,155
1,52632,156
1,52890,157
1,53141,158
11,53307,159
1,53483,160
1,53733,161
1,53992,162
1,54242,163
11,54409,164
1,54584,165
1,54834,166
1,55093,167
1,55343,168
11,55510,169
1,55685,170
1,55935,171
1,56194,172
