type,latency,urevent
240,826,1
17,10989,2
11,11014,3
1,11189,4
1,11440,5
1,11698,6
1,11948,7
11,12115,8
1,12290,9
1,12541,10
1,12799,11
1,13049,12
11,13216,13
1,13391,14
1,13642,15
1,13900,16
1,14151,17
11,14318,18
1,14492,19
1,14743,20
1,15001,21
1,15252,22
11,15419,23
1,15593,24
1,15844,25
1,16102,26
1,16353,27
11,16520,28
1,16695,29
1,16945,30
1,17204,31
1,17454,32
11,17621,33
1,17796,34
1,18046,35
1,18305,36
1,18555,37
11,18722,38
1,18897,39
1,19147,40
1,19406,41
1,19656,42
11,19823,43
1,19998,44
1,20248,45
1,20507,46
1,20757,47
11,20924,48
1,21099,49
1,21349,50
1,21608,51
1,21858,52
11,22025,53
1,22201,54
1,22451,55
1,22709,56
1,22959,57
11,23126,58
1,23302,59
1,23552,60
1,23811,61
1,24061,62
11,24228,63
1,24403,64
1,24653,65
1,24912,66
1,25162,67
11,25329,68
1,25504,69
1,25754,70
1,26013,71
1,26263,72
11,26430,73
1,26606,74
1,26856,75
1,27114,76
1,27364,77
11,27531,78
1,27706,79
1,27956,80
1,28215,81
1,28465,82
11,28632,83
1,28807,84
1,29058,85
1,29316,86
1,29567,87
11,29733,88
1,29908,89
1,30159,90
1,30417,91
1,30668,92
11,30835,93
1,31009,94
1,31260,95
1,31518,96
1,31769,97
11,31935,98
1,32111,99
1,32361,100
1,32619,101
1,32870,102
11,33036,103
1,33212,104
1,33462,105
1,33720,106
1,33971,107
11,34137,108
1,34313,109
1,34563,110
1,34822,111
1,35072,112
11,35239,113
1,35414,114
1,35664,115
1,35923,116
1,36173,117
11,36340,118
1,36515,119
1,36765,120
1,37024,121
1,37274,122
11,37441,123
1,37616,124
1,37867,125
1,38125,126
1,38375,127
11,38542,128
1,38717,129
1,38968,130
1,39226,131
1,39476,132
11,39643,133
1,39819,134
1,40069,135
1,40328,136
1,40578,137
11,40745,138
1,40920,139
1,41170,140
1,41429,141
1,41679,142
11,41846,143
1,42021,144
1,42271,145
1,42530,146
1,42780,147
11,42947,148
1,43122,149
1,43372,150
1,43631,151
1,43881,152
1,44140,153
1,44390,154
12,57662,155
2,57837,156
2,58087,157
2,58346,158
2,58596,159
12,58763,160
2,58938,161
2,59188,162
2,59447,163
2,59697,164
12,59864,165
2,60039,166
2,60290,167
2,60548,168
2,60798,169
12,60965,170
2,61140,171
2,61391,172
2,61649,173
2,61899,174
12,62066,175
2,62242,176
2,62492,177
2,62751,178
2,63001,179
12,63168,180
2,63343,181
2,63593,182
2,63852,183
2,64102,184
12,64269,185
2,64444,186
2,64694,187
2,64953,188
2,65203,189
12,65370,190
2,65545,191
2,65795,192
2,66054,193
2,66304,194
12,66471,195
2,66646,196
2,66896,197
2,67155,198
2,67405,199
12,67572,200
2,67747,201
2,67997,202
2,68256,203
2,68506,204
12,68673,205
2,68848,206
2,69098,207
2,69357,208
2,69607,209
12,69774,210
2,69949,211
2,70199,212
2,70458,213
2,70709,214
12,70875,215
2,71051,216
2,71301,217
2,71559,218
2,71810,219
12,71976,220
2,72152,221
2,72402,222
2,72660,223
2,72911,224
12,73077,225
2,73253,226
2,73503,227
2,73762,228
