type,latency,urevent
keyboard0,498,1
boundary,541,2
keyboard0,587,3
17,8003,4
11,8028,5
1,8203,6
1,8453,7
1,8712,8
1,8962,9
11,9130,10
1,9304,11
1,9554,12
1,9813,13
1,10063,14
11,10230,15
1,10406,16
1,10656,17
1,10914,18
1,11164,19
11,11331,20
1,11507,21
1,11757,22
1,12015,23
1,12265,24
11,12432,25
1,12608,26
1,12858,27
1,13117,28
1,13367,29
11,13534,30
1,13709,31
1,13959,32
1,14218,33
1,14468,34
11,14635,35
1,14810,36
1,15060,37
1,15319,38
1,15569,39
11,15736,40
1,15911,41
1,16162,42
1,16420,43
1,16670,44
11,16837,45
1,17012,46
1,17263,47
1,17521,48
1,17771,49
11,17938,50
1,18113,51
1,18364,52
1,18622,53
1,18873,54
11,19039,55
1,19214,56
1,19465,57
1,19723,58
1,19974,59
11,20141,60
1,20315,61
1,20566,62
1,20824,63
1,21075,64
11,21242,65
1,21417,66
1,21667,67
1,21925,68
1,22176,69
11,22343,70
1,22518,71
1,22768,72
1,23027,73
1,23277,74
11,23444,75
1,23619,76
1,23869,77
1,24128,78
1,24378,79
11,24545,80
1,24720,81
1,24970,82
1,25229,83
1,25479,84
11,25646,85
1,25821,86
1,26071,87
1,26330,88
1,26580,89
11,26747,90
1,26923,91
1,27173,92
1,27431,93
1,27681,94
11,27848,95
1,28024,96
1,28274,97
1,28532,98
1,28782,99
11,28949,100
1,29125,101
1,29375,102
1,29634,103
1,29884,104
11,30051,105
1,30226,106
1,30476,107
1,30735,108
1,30985,109
11,31152,110
1,31327,111
1,31577,112
1,31836,113
1,32086,114
11,32253,115
1,32428,116
1,32678,117
1,32937,118
1,33187,119
11,33354,120
1,33529,121
1,33779,122
1,34038,123
1,34288,124
11,34455,125
1,34630,126
1,34881,127
1,35139,128
1,35390,129
11,35556,130
1,35731,131
1,35982,132
1,36240,133
1,36491,134
11,36657,135
1,36832,136
1,37083,137
1,37341,138
1,37592,139
11,37759,140
1,37934,141
1,38184,142
1,38443,143
1,38693,144
11,38860,145
1,39035,146
1,39285,147
1,39543,148
1,39794,149
11,39961,150
1,40136,151
1,40386,152
1,40645,153
1,40895,154
1,41154,155
1,41404,156
12,54593,157
2,54767,158
2,55018,159
2,55277,160
2,55527,161
12,55694,162
2,55868,163
2,56119,164
2,56378,165
2,56628,166
12,56795,167
2,56970,168
boundary,57201,169
2,57236,170
2,57494,171
2,57745,172
12,57911,173
2,58087,174
2,58337,175
2,58595,176
2,58846,177
12,59012,178
2,59188,179
2,59438,180
2,59697,181
2,59947,182
12,60114,183
2,60289,184
2,60539,185
2,60798,186
2,61048,187
12,61215,188
2,61390,189
2,61640,190
2,61899,191
2,62149,192
12,62316,193
2,62491,194
2,62742,195
2,63000,196
2,63250,197
12,63417,198
2,63592,199
2,63843,200
2,64101,201
2,64351,202
12,64518,203
2,64694,204
2,64944,205
2,65203,206
2,65453,207
12,65620,208
2,65795,209
2,66045,210
2,66304,211
2,66554,212
12,66721,213
2,66896,214
2,67146,215
2,67405,216
2,67655,217
12,67822,218
2,67997,219
2,68247,220
2,68506,221
2,68756,222
12,68923,223
2,69098,224
2,69348,225
2,69607,226
2,69857,227
12,70024,228
2,70199,229
2,70449,230
2,70708,231
2,70958,232
12,71125,233
2,71300,234
2,71550,235
2,71809,236
2,72060,237
12,72226,238
2,72401,239
2,72651,240
2,72910,241
2,73161,242
12,73327,243
2,73503,244
2,73753,245
2,74011,246
2,74262,247
12,74428,248
2,74604,249
2,74854,250
2,75112,251
2,75363,252
2,75621,253
2,75872,254
14,81678,255
4,81853,256
4,82103,257
4,82362,258
4,82612,259
14,82779,260
4,82954,261
4,83204,262
4,83463,263
4,83713,264
14,83880,265
4,84055,266
4,84306,267
4,84564,268
4,84814,269
14,84981,270
4,85156,271
4,85407,272
4,85665,273
4,85915,274
14,86082,275
4,86257,276
4,86508,277
4,86766,278
4,87017,279
14,87183,280
4,87358,281
4,87609,282
4,87867,283
4,88118,284
14,88284,285
4,88459,286
4,88710,287
4,88968,288
4,89219,289
14,89386,290
4,89561,291
4,89811,292
4,90069,293
4,90320,294
14,90487,295
4,90662,296
4,90912,297
4,91170,298
4,91421,299
14,91588,300
4,91763,301
4,92013,302
4,92272,303
4,92522,304
14,92689,305
4,92864,306
4,93114,307
4,93373,308
4,93623,309
14,93790,310
4,93965,311
4,94215,312
4,94474,313
4,94724,314
14,94891,315
4,95067,316
4,95317,317
4,95575,318
4,95825,319
14,95992,320
4,96168,321
4,96418,322
4,96676,323
4,96926,324
14,97093,325
4,97269,326
4,97519,327
4,97778,328
4,98028,329
14,98195,330
4,98370,331
4,98620,332
4,98879,333
4,99129,334
14,99296,335
4,99471,336
4,99721,337
4,99980,338
4,100230,339
14,100397,340
4,100572,341
4,100822,342
4,101081,343
4,101331,344
14,101498,345
4,101673,346
4,101923,347
4,102182,348
4,102432,349
14,102599,350
4,102774,351
4,103025,352
4,103283,353
4,103534,354
14,103700,355
4,103875,356
4,104126,357
4,104384,358
4,104635,359
14,104801,360
4,104976,361
4,105227,362
4,105485,363
4,105736,364
14,105902,365
4,106078,366
4,106328,367
4,106586,368
4,106837,369
14,107003,370
4,107179,371
4,107429,372
4,107687,373
4,107938,374
14,108105,375
4,108280,376
4,108530,377
4,108789,378
4,109039,379
14,109206,380
4,109381,381
4,109631,382
4,109890,383
4,110140,384
14,110307,385
4,110482,386
4,110732,387
4,110991,388
