type,latency,urevent
17,19747,1
11,19772,2
1,19947,3
1,20197,4
1,20456,5
1,20706,6
11,20873,7
1,21048,8
1,21298,9
1,21557,10
1,21807,11
11,21974,12
1,22149,13
1,22399,14
1,22658,15
1,22909,16
11,23075,17
1,23250,18
1,23500,19
1,23759,20
1,24010,21
11,24176,22
1,24352,23
1,24602,24
1,24860,25
1,25111,26
11,25277,27
1,25453,28
1,25703,29
1,25961,30
1,26212,31
11,26378,32
1,26554,33
1,26804,34
1,27063,35
1,27313,36
11,27480,37
1,27655,38
1,27905,39
1,28164,40
1,28414,41
11,28581,42
1,28756,43
1,29006,44
1,29265,45
1,29515,46
11,29682,47
1,29857,48
1,30108,49
1,30366,50
1,30616,51
11,30783,52
1,30958,53
1,31209,54
1,31467,55
1,31717,56
11,31884,57
1,32059,58
1,32310,59
1,32568,60
1,32819,61
11,32986,62
1,33160,63
1,33411,64
1,33670,65
1,33920,66
11,34087,67
1,34261,68
1,34512,69
1,34771,70
1,35021,71
11,35188,72
1,35363,73
1,35613,74
1,35872,75
1,36122,76
11,36289,77
1,36464,78
1,36714,79
1,36973,80
1,37223,81
11,37390,82
1,37565,83
1,37815,84
1,38074,85
1,38324,86
11,38491,87
1,38666,88
1,38916,89
1,39175,90
1,39425,91
11,39592,92
1,39768,93
1,40018,94
1,40276,95
1,40526,96
11,40693,97
1,40869,98
1,41119,99
1,41377,100
1,41627,101
11,41794,102
1,41970,103
1,42220,104
1,42479,105
1,42729,106
11,42896,107
1,43071,108
1,43321,109
1,43580,110
1,43830,111
11,43997,112
1,44172,113
1,44422,114
1,44681,115
1,44931,116
11,45098,117
1,45273,118
1,45524,119
1,45782,120
1,46032,121
11,46199,122
1,46375,123
1,46625,124
1,46883,125
1,47133,126
11,47300,127
1,47475,128
1,47726,129
1,47984,130
1,48235,131
11,48401,132
1,48576,133
1,48827,134
1,49085,135
1,49336,136
11,49502,137
1,49677,138
1,49928,139
1,50186,140
1,50437,141
11,50604,142
1,50779,143
1,51029,144
1,51287,145
1,51538,146
11,51705,147
1,51880,148
1,52130,149
1,52388,150
1,52639,151
1,52898,152
1,53148,153
12,66395,154
2,66570,155
2,66820,156
2,67079,157
2,67329,158
12,67496,159
2,67671,160
2,67921,161
2,68180,162
2,68430,163
12,68597,164
2,68772,165
2,69022,166
2,69281,167
2,69531,168
12,69698,169
2,69873,170
2,70123,171
2,70382,172
2,70633,173
12,70799,174
2,70974,175
2,71224,176
2,71483,177
2,71734,178
12,71900,179
2,72076,180
2,72326,181
2,72584,182
2,72835,183
12,73001,184
2,73177,185
2,73427,186
2,73685,187
2,73936,188
12,74102,189
2,74278,190
2,74528,191
2,74787,192
2,75037,193
12,75204,194
2,75379,195
2,75629,196
2,75888,197
2,76138,198
12,76305,199
2,76480,200
2,76730,201
2,76989,202
2,77239,203
12,77406,204
2,77581,205
2,77832,206
2,78090,207
2,78340,208
12,78507,209
2,78682,210
2,78933,211
2,79191,212
2,79441,213
12,79608,214
2,79783,215
2,80034,216
2,80293,217
2,80543,218
12,80710,219
2,80884,220
2,81135,221
2,81394,222
2,81644,223
12,81811,224
2,81985,225
2,82236,226
2,82495,227
2,82745,228
12,82912,229
2,83087,230
2,83337,231
2,83596,232
2,83846,233
12,84013,234
2,84188,235
2,84438,236
2,84697,237
2,84947,238
12,85114,239
2,85289,240
2,85539,241
2,85798,242
2,86048,243
12,86215,244
2,86390,245
2,86640,246
2,86899,247
2,87149,248
12,87316,249
2,87491,250
2,87741,251
2,88001,252
2,88251,253
12,88418,254
2,88593,255
2,88843,256
2,89101,257
2,89351,258
12,89518,259
2,89694,260
2,89944,261
2,90202,262
2,90453,263
12,90620,264
2,90795,265
2,91045,266
2,91304,267
2,91554,268
12,91721,269
2,91896,270
2,92146,271
2,92405,272
2,92655,273
12,92822,274
2,92997,275
2,93248,276
2,93506,277
2,93756,278
12,93923,279
2,94098,280
2,94349,281
2,94607,282
2,94857,283
12,95024,284
2,95199,285
2,95450,286
2,95708,287
2,95959,288
12,96125,289
2,96300,290
2,96551,291
2,96809,292
2,97060,293
12,97226,294
2,97401,295
2,97652,296
2,97910,297
2,98161,298
12,98328,299
2,98503,300
2,98753,301
2,99011,302
2,99262,303
2,99520,304
2,99771,305
14,105627,306
4,105802,307
4,106052,308
4,106311,309
4,106561,310
14,106728,311
4,106903,312
4,107153,313
4,107412,314
4,107662,315
14,107829,316
4,108004,317
4,108254,318
4,108513,319
4,108763,320
14,108930,321
4,109106,322
4,109356,323
4,109614,324
4,109864,325
14,110031,326
4,110206,327
4,110456,328
4,110715,329
4,110965,330
14,111132,331
4,111308,332
4,111558,333
4,111816,334
4,112066,335
14,112233,336
4,112409,337
4,112659,338
4,112917,339
4,113167,340
14,113335,341
4,113510,342
4,113760,343
4,114019,344
4,114269,345
14,114436,346
4,114611,347
4,114861,348
4,115120,349
4,115370,350
14,115537,351
4,115712,352
4,115962,353
4,116221,354
4,116471,355
14,116638,356
4,116813,357
4,117064,358
4,117322,359
4,117572,360
14,117739,361
4,117914,362
4,118165,363
4,118423,364
4,118674,365
14,118840,366
4,119015,367
4,119266,368
4,119524,369
4,119775,370
14,119941,371
4,120116,372
4,120367,373
4,120625,374
4,120876,375
14,121042,376
4,121218,377
4,121468,378
4,121726,379
4,121977,380
14,122144,381
4,122319,382
4,122569,383
4,122827,384
4,123078,385
14,123245,386
4,123420,387
4,123670,388
4,123929,389
4,124179,390
14,124346,391
4,124521,392
4,124771,393
4,125030,394
4,125280,395
14,125447,396
4,125622,397
4,125872,398
4,126131,399
4,126381,400
14,126548,401
4,126724,402
4,126974,403
4,127232,404
4,127482,405
14,127649,406
4,127825,407
4,128075,408
4,128333,409
4,128583,410
14,128750,411
4,128926,412
4,129176,413
4,129435,414
4,129685,415
14,129852,416
4,130027,417
4,130277,418
4,130536,419
4,130786,420
14,130953,421
4,131128,422
4,131378,423
4,131637,424
4,131887,425
14,132054,426
4,132229,427
4,132479,428
4,132738,429
4,132988,430
14,133155,431
4,133330,432
4,133580,433
4,133839,434
4,134089,435
14,134256,436
4,134431,437
4,134681,438
4,134940,439
4,135190,440
14,135357,441
4,135532,442
4,135782,443
4,136041,444
4,136292,445
14,136458,446
4,136633,447
4,136883,448
4,137142,449
4,137393,450
14,137559,451
4,137735,452
4,137985,453
4,138243,454
4,138494,455
4,138752,456
4,139003,457
13,143874,458
3,144049,459
3,144300,460
3,144559,461
3,144809,462
13,144976,463
3,145150,464
3,145401,465
3,145660,466
3,145910,467
13,146077,468
3,146252,469
3,146502,470
3,146761,471
3,147011,472
13,147178,473
3,147353,474
3,147603,475
3,147862,476
3,148112,477
13,148279,478
3,148454,479
3,148704,480
3,148963,481
3,149213,482
13,149380,483
3,149555,484
3,149805,485
3,150064,486
3,150314,487
13,150481,488
3,150656,489
3,150906,490
3,151165,491
3,151415,492
13,151582,493
3,151757,494
3,152007,495
3,152266,496
3,152516,497
13,152683,498
3,152859,499
3,153109,500
3,153367,501
3,153617,502
13,153784,503
3,153960,504
3,154210,505
3,154468,506
3,154718,507
13,154885,508
3,155061,509
3,155311,510
3,155570,511
3,155820,512
13,155987,513
3,156162,514
3,156412,515
3,156671,516
3,156921,517
13,157088,518
3,157263,519
3,157513,520
3,157772,521
3,158022,522
13,158189,523
3,158364,524
3,158615,525
3,158873,526
3,159123,527
13,159290,528
3,159465,529
3,159716,530
3,159974,531
3,160224,532
13,160391,533
3,160566,534
3,160817,535
3,161075,536
3,161326,537
13,161492,538
3,161667,539
3,161918,540
3,162176,541
3,162427,542
13,162594,543
3,162768,544
3,163019,545
3,163277,546
3,163528,547
13,163695,548
3,163870,549
3,164120,550
3,164378,551
3,164629,552
13,164796,553
3,164971,554
3,165221,555
3,165480,556
3,165730,557
13,165897,558
3,166072,559
3,166322,560
3,166581,561
3,166831,562
13,166998,563
3,167173,564
3,167423,565
3,167682,566
3,167932,567
13,168099,568
3,168274,569
3,168525,570
3,168783,571
3,169033,572
13,169200,573
3,169376,574
3,169626,575
3,169884,576
3,170134,577
13,170301,578
3,170477,579
3,170727,580
3,170986,581
3,171236,582
13,171403,583
3,171578,584
3,171828,585
3,172087,586
3,172337,587
13,172504,588
3,172679,589
3,172929,590
3,173188,591
3,173438,592
13,173605,593
3,173780,594
3,174030,595
3,174289,596
3,174539,597
13,174706,598
3,174881,599
3,175131,600
3,175390,601
3,175640,602
13,175807,603
3,175983,604
3,176233,605
3,176491,606
3,176742,607
3,177000,608
3,177250,609
16,183081,610
6,183256,611
6,183506,612
6,183765,613
6,184016,614
16,184182,615
6,184358,616
6,184608,617
6,184866,618
6,185117,619
16,185283,620
6,185459,621
6,185709,622
6,185967,623
6,186218,624
16,186384,625
6,186560,626
6,186810,627
6,187068,628
6,187319,629
16,187485,630
6,187661,631
6,187911,632
6,188170,633
6,188421,634
16,188587,635
6,188762,636
6,189012,637
6,189271,638
6,189521,639
16,189688,640
6,189863,641
6,190113,642
6,190372,643
6,190622,644
16,190789,645
6,190964,646
6,191215,647
6,191473,648
6,191723,649
16,191890,650
6,192065,651
6,192316,652
6,192574,653
6,192824,654
16,192991,655
6,193166,656
6,193417,657
6,193675,658
6,193926,659
16,194093,660
