type,latency,urevent
keyboard0,3,1
keyboard0,5910,2
17,6646,3
11,6671,4
1,6846,5
1,7096,6
1,7355,7
1,7605,8
11,7772,9
1,7947,10
1,8197,11
1,8456,12
1,8706,13
11,8873,14
1,9048,15
1,9298,16
1,9557,17
1,9807,18
11,9974,19
1,10149,20
1,10399,21
1,10658,22
1,10908,23
11,11075,24
1,11250,25
1,11500,26
1,11759,27
1,12009,28
11,12176,29
1,12352,30
1,12602,31
1,12860,32
1,13110,33
11,13277,34
1,13452,35
1,13702,36
1,13961,37
1,14211,38
11,14378,39
1,14554,40
1,14804,41
1,15062,42
1,15313,43
11,15479,44
1,15655,45
1,15905,46
1,16163,47
1,16414,48
11,16580,49
1,16756,50
1,17006,51
1,17265,52
1,17515,53
11,17682,54
1,17857,55
1,18107,56
1,18366,57
1,18616,58
11,18783,59
1,18958,60
1,19208,61
1,19467,62
1,19717,63
11,19884,64
1,20059,65
1,20310,66
1,20568,67
1,20818,68
11,20985,69
1,21160,70
1,21411,71
1,21669,72
1,21919,73
11,22086,74
1,22261,75
1,22512,76
1,22770,77
1,23021,78
11,23188,79
1,23362,80
1,23613,81
1,23871,82
1,24122,83
11,24289,84
1,24464,85
1,24714,86
1,24972,87
keyboard0,25191,88
1,25223,89
11,25390,90
1,25565,91
1,25815,92
keyboard0,26003,93
1,26074,94
1,26324,95
11,26491,96
1,26666,97
1,26916,98
1,27175,99
1,27425,100
11,27592,101
1,27767,102
1,28017,103
1,28276,104
1,28526,105
11,28693,106
1,28868,107
1,29118,108
1,29377,109
1,29627,110
11,29794,111
1,29970,112
1,30220,113
1,30478,114
1,30728,115
11,30895,116
1,31071,117
1,31321,118
1,31579,119
1,31829,120
11,31996,121
1,32172,122
1,32422,123
1,32681,124
1,32931,125
11,33098,126
1,33273,127
1,33523,128
1,33782,129
1,34032,130
11,34199,131
1,34374,132
1,34624,133
1,34883,134
1,35133,135
11,35300,136
1,35475,137
1,35725,138
1,35984,139
1,36234,140
11,36401,141
1,36576,142
1,36826,143
1,37085,144
1,37335,145
11,37502,146
1,37677,147
1,37928,148
1,38186,149
1,38437,150
11,38603,151
1,38778,152
1,39029,153
1,39287,154
1,39538,155
1,39796,156
1,40046,157
keyboard0,41045,158
keyboard0,52709,159
12,53235,160
2,53410,161
2,53660,162
2,53919,163
2,54169,164
12,54336,165
2,54511,166
2,54761,167
2,55020,168
2,55270,169
12,55437,170
2,55612,171
2,55863,172
2,56121,173
2,56372,174
12,56538,175
2,56713,176
2,56964,177
2,57222,178
2,57473,179
12,57639,180
2,57815,181
2,58065,182
2,58323,183
2,58574,184
12,58740,185
2,58916,186
2,59166,187
2,59424,188
2,59675,189
12,59841,190
2,60017,191
2,60267,192
2,60526,193
2,60776,194
12,60943,195
2,61118,196
2,61368,197
2,61627,198
2,61877,199
12,62044,200
2,62219,201
