type,latency,urevent
255,1879,1
255,6849,2
17,15567,3
11,15592,4
1,15768,5
1,16018,6
1,16276,7
1,16526,8
11,16693,9
1,16869,10
1,17119,11
1,17377,12
1,17627,13
11,17794,14
1,17970,15
1,18220,16
1,18479,17
1,18729,18
11,18896,19
1,19071,20
1,19321,21
1,19580,22
1,19830,23
11,19997,24
1,20172,25
1,20422,26
1,20681,27
1,20931,28
11,21098,29
1,21273,30
1,21523,31
1,21782,32
1,22032,33
11,22199,34
1,22374,35
1,22624,36
1,22883,37
1,23133,38
11,23300,39
1,23475,40
1,23726,41
1,23984,42
1,24235,43
11,24401,44
1,24576,45
1,24827,46
1,25085,47
1,25336,48
11,25502,49
1,25677,50
1,25928,51
1,26186,52
1,26437,53
11,26603,54
1,26779,55
1,27030,56
1,27287,57
1,27538,58
11,27704,59
1,27880,60
1,28130,61
1,28388,62
1,28639,63
11,28806,64
1,28981,65
1,29231,66
1,29490,67
1,29740,68
11,29907,69
1,30082,70
1,30332,71
1,30591,72
1,30841,73
11,31009,74
1,31183,75
1,31433,76
1,31692,77
1,31942,78
11,32109,79
1,32284,80
1,32535,81
1,32793,82
1,33043,83
11,33210,84
1,33385,85
1,33636,86
1,33894,87
1,34145,88
11,34311,89
1,34487,90
1,34737,91
1,34996,92
1,35246,93
11,35413,94
1,35588,95
1,35838,96
1,36097,97
1,36347,98
11,36514,99
1,36689,100
1,36939,101
1,37198,102
1,37448,103
11,37615,104
1,37790,105
1,38040,106
1,38299,107
1,38549,108
11,38716,109
1,38891,110
1,39141,111
1,39400,112
1,39650,113
11,39817,114
1,39992,115
1,40242,116
1,40501,117
1,40751,118
11,40918,119
1,41093,120
1,41343,121
1,41602,122
1,41852,123
11,42019,124
1,42194,125
1,42445,126
1,42703,127
1,42954,128
11,43120,129
1,43296,130
1,43546,131
1,43804,132
1,44055,133
11,44221,134
1,44397,135
1,44647,136
1,44906,137
1,45156,138
11,45323,139
1,45498,140
1,45748,141
1,46007,142
1,46257,143
11,46424,144
1,46599,145
1,46849,146
1,47108,147
1,47358,148
11,47525,149
1,47700,150
1,47951,151
1,48209,152
1,48459,153
1,48718,154
1,48968,155
12,62207,156
2,62382,157
2,62632,158
2,62891,159
2,63141,160
12,63308,161
2,63483,162
2,63733,163
2,63992,164
2,64242,165
12,64409,166
2,64584,167
2,64834,168
2,65093,169
2,65343,170
12,65510,171
2,65685,172
2,65935,173
2,66194,174
2,66444,175
12,66611,176
2,66786,177
2,67036,178
2,67295,179
2,67545,180
12,67712,181
2,67888,182
2,68138,183
2,68396,184
2,68646,185
12,68813,186
2,68989,187
2,69239,188
2,69498,189
2,69748,190
12,69915,191
2,70090,192
2,70340,193
2,70599,194
2,70849,195
12,71016,196
2,71191,197
2,71441,198
2,71700,199
2,71950,200
12,72117,201
2,72292,202
2,72542,203
2,72801,204
2,73052,205
12,73218,206
2,73393,207
2,73644,208
2,73902,209
2,74152,210
12,74319,211
2,74494,212
2,74745,213
2,75003,214
2,75254,215
12,75420,216
2,75595,217
2,75846,218
2,76104,219
2,76355,220
12,76521,221
2,76696,222
2,76947,223
2,77205,224
2,77456,225
12,77622,226
2,77798,227
2,78048,228
2,78306,229
2,78557,230
12,78724,231
2,78899,232
2,79149,233
2,79407,234
2,79658,235
12,79825,236
2,80000,237
2,80250,238
2,80509,239
2,80759,240
12,80926,241
2,81101,242
2,81351,243
2,81610,244
2,81860,245
12,82027,246
2,82202,247
