type,latency,urevent
17,11216,1
11,11241,2
1,11416,3
1,11666,4
1,11925,5
1,12175,6
11,12342,7
1,12517,8
1,12768,9
1,13026,10
1,13276,11
11,13443,12
1,13618,13
1,13869,14
1,14127,15
1,14377,16
11,14544,17
1,14719,18
1,14970,19
1,15228,20
1,15479,21
11,15646,22
1,15821,23
1,16071,24
1,16329,25
1,16580,26
11,16747,27
1,16921,28
1,17172,29
1,17430,30
1,17681,31
11,17848,32
1,18023,33
1,18273,34
1,18531,35
1,18782,36
11,18949,37
1,19124,38
1,19374,39
1,19633,40
1,19883,41
11,20050,42
1,20225,43
1,20475,44
1,20734,45
1,20984,46
11,21151,47
1,21326,48
1,21576,49
1,21835,50
1,22085,51
11,22252,52
1,22427,53
1,22677,54
1,22936,55
1,23186,56
11,23353,57
1,23529,58
1,23779,59
1,24037,60
1,24287,61
11,24454,62
1,24630,63
1,24880,64
1,25138,65
1,25388,66
11,25555,67
1,25731,68
1,25981,69
1,26240,70
1,26490,71
11,26657,72
1,26832,73
1,27082,74
1,27341,75
1,27591,76
11,27758,77
1,27933,78
1,28183,79
1,28442,80
1,28692,81
11,28859,82
1,29034,83
1,29284,84
1,29543,85
1,29793,86
11,29960,87
1,30135,88
1,30386,89
1,30644,90
1,30894,91
11,31061,92
1,31236,93
1,31487,94
1,31745,95
1,31996,96
11,32162,97
1,32337,98
1,32588,99
1,32846,100
1,33097,101
11,33263,102
1,33438,103
1,33689,104
1,33947,105
1,34198,106
11,34364,107
1,34540,108
1,34790,109
1,35048,110
1,35299,111
11,35466,112
1,35641,113
1,35891,114
1,36149,115
1,36400,116
11,36567,117
1,36742,118
1,36992,119
1,37251,120
1,37501,121
11,37668,122
1,37843,123
1,38093,124
1,38352,125
1,38602,126
11,38769,127
1,38944,128
1,39194,129
1,39453,130
1,39703,131
11,39870,132
1,40046,133
1,40296,134
1,40554,135
1,40804,136
11,40971,137
1,41147,138
1,41397,139
1,41655,140
1,41905,141
11,42072,142
1,42248,143
1,42498,144
1,42757,145
1,43007,146
11,43174,147
1,43349,148
1,43599,149
1,43858,150
1,44108,151
1,44366,152
1,44616,153
12,57805,154
2,57981,155
2,58231,156
2,58489,157
2,58739,158
12,58906,159
2,59082,160
2,59332,161
2,59590,162
2,59840,163
12,60007,164
2,60183,165
2,60433,166
2,60692,167
2,60942,168
12,61109,169
2,61284,170
2,61534,171
2,61793,172
2,62043,173
12,62210,174
2,62385,175
2,62635,176
2,62894,177
2,63144,178
12,63311,179
2,63486,180
2,63736,181
2,63995,182
2,64245,183
12,64412,184
2,64587,185
2,64837,186
2,65096,187
2,65346,188
12,65513,189
2,65688,190
2,65939,191
2,66197,192
2,66448,193
12,66614,194
2,66789,195
2,67040,196
2,67298,197
2,67549,198
12,67715,199
2,67890,200
2,68141,201
2,68399,202
2,68650,203
12,68816,204
2,68992,205
2,69242,206
2,69500,207
2,69751,208
12,69918,209
2,70093,210
2,70343,211
2,70601,212
2,70852,213
12,71019,214
2,71194,215
2,71444,216
2,71703,217
2,71953,218
12,72120,219
2,72295,220
2,72545,221
2,72804,222
2,73054,223
12,73221,224
2,73396,225
2,73646,226
2,73905,227
2,74155,228
12,74322,229
2,74498,230
2,74748,231
2,75006,232
2,75256,233
12,75423,234
2,75599,235
2,75849,236
2,76107,237
2,76357,238
12,76524,239
2,76700,240
2,76950,241
2,77209,242
2,77459,243
12,77626,244
2,77801,245
2,78051,246
2,78310,247
2,78560,248
12,78727,249
2,78902,250
2,79152,251
2,79411,252
2,79661,253
12,79828,254
2,80003,255
2,80253,256
2,80512,257
2,80762,258
12,80929,259
2,81104,260
2,81354,261
2,81613,262
2,81863,263
12,82030,264
2,82205,265
2,82455,266
2,82714,267
2,82965,268
12,83131,269
2,83306,270
2,83556,271
2,83815,272
2,84066,273
12,84232,274
2,84407,275
2,84658,276
2,84916,277
2,85167,278
12,85333,279
2,85509,280
2,85759,281
2,86017,282
2,86268,283
12,86434,284
2,86610,285
2,86860,286
2,87118,287
2,87369,288
12,87535,289
2,87711,290
2,87961,291
2,88220,292
2,88470,293
12,88637,294
2,88812,295
2,89062,296
2,89321,297
2,89571,298
12,89738,299
2,89913,300
2,90163,301
2,90422,302
2,90672,303
2,90931,304
2,91181,305
14,96987,306
4,97162,307
4,97413,308
4,97671,309
4,97921,310
14,98088,311
4,98263,312
4,98514,313
4,98772,314
4,99023,315
14,99189,316
4,99364,317
4,99615,318
4,99873,319
4,100124,320
14,100291,321
4,100465,322
4,100716,323
4,100974,324
4,101225,325
14,101392,326
4,101567,327
4,101817,328
4,102075,329
4,102326,330
14,102493,331
4,102668,332
4,102918,333
4,103177,334
4,103427,335
14,103594,336
4,103769,337
4,104019,338
4,104278,339
4,104528,340
14,104695,341
4,104870,342
4,105120,343
4,105379,344
4,105629,345
14,105796,346
4,105971,347
4,106221,348
4,106480,349
4,106730,350
14,106897,351
4,107073,352
4,107323,353
4,107581,354
4,107831,355
14,107998,356
4,108174,357
4,108424,358
4,108682,359
4,108933,360
14,109099,361
4,109275,362
4,109525,363
4,109784,364
4,110034,365
14,110201,366
4,110376,367
4,110626,368
4,110885,369
4,111135,370
14,111302,371
4,111477,372
4,111727,373
4,111986,374
4,112236,375
14,112403,376
4,112578,377
4,112828,378
4,113087,379
4,113337,380
14,113504,381
4,113679,382
4,113929,383
4,114188,384
4,114438,385
14,114605,386
4,114780,387
4,115031,388
4,115289,389
4,115540,390
14,115706,391
4,115881,392
4,116132,393
4,116390,394
4,116641,395
14,116807,396
4,116983,397
4,117233,398
4,117491,399
4,117742,400
14,117908,401
4,118084,402
4,118334,403
4,118592,404
4,118843,405
14,119009,406
4,119185,407
4,119435,408
4,119694,409
4,119944,410
14,120111,411
4,120286,412
4,120536,413
4,120795,414
4,121045,415
14,121212,416
4,121387,417
4,121637,418
4,121896,419
4,122146,420
14,122313,421
4,122488,422
4,122739,423
4,122997,424
4,123247,425
14,123414,426
4,123589,427
4,123840,428
4,124098,429
4,124348,430
14,124515,431
4,124691,432
4,124941,433
4,125200,434
4,125450,435
14,125617,436
4,125792,437
4,126042,438
4,126301,439
4,126551,440
14,126718,441
4,126893,442
4,127143,443
4,127402,444
4,127652,445
14,127819,446
4,127994,447
4,128244,448
4,128503,449
4,128753,450
14,128920,451
4,129095,452
4,129345,453
4,129604,454
4,129854,455
4,130113,456
4,130363,457
13,135193,458
3,135368,459
3,135618,460
3,135877,461
3,136127,462
13,136294,463
3,136469,464
3,136719,465
3,136978,466
3,137228,467
13,137395,468
3,137570,469
3,137820,470
3,138079,471
3,138329,472
13,138496,473
3,138672,474
3,138922,475
3,139180,476
3,139431,477
13,139597,478
3,139773,479
3,140023,480
3,140282,481
3,140532,482
13,140699,483
3,140874,484
3,141124,485
3,141383,486
3,141633,487
13,141800,488
3,141975,489
3,142225,490
3,142484,491
3,142734,492
13,142901,493
3,143076,494
3,143326,495
3,143585,496
3,143835,497
13,144002,498
3,144177,499
3,144428,500
3,144686,501
3,144936,502
13,145103,503
3,145278,504
3,145529,505
3,145787,506
3,146037,507
13,146204,508
3,146379,509
3,146630,510
3,146888,511
3,147139,512
13,147306,513
3,147480,514
3,147731,515
3,147989,516
3,148240,517
13,148407,518
3,148581,519
3,148832,520
3,149091,521
3,149341,522
13,149508,523
3,149683,524
3,149933,525
3,150192,526
3,150442,527
13,150609,528
3,150784,529
3,151034,530
3,151293,531
3,151543,532
13,151710,533
3,151885,534
3,152135,535
3,152394,536
3,152644,537
13,152811,538
3,152986,539
3,153236,540
3,153495,541
3,153745,542
13,153912,543
3,154087,544
3,154337,545
3,154596,546
3,154846,547
13,155013,548
3,155189,549
3,155439,550
3,155697,551
3,155947,552
13,156114,553
3,156290,554
3,156540,555
3,156798,556
