type,latency,urevent
12,101,1
2,276,2
2,526,3
2,785,4
2,1036,5
12,1202,6
2,1377,7
2,1628,8
2,1886,9
2,2137,10
12,2303,11
2,2478,12
2,2729,13
2,2987,14
2,3238,15
12,3404,16
2,3580,17
2,3830,18
2,4088,19
2,4339,20
12,4505,21
2,4681,22
2,4931,23
2,5189,24
2,5440,25
12,5606,26
2,5782,27
2,6032,28
2,6291,29
2,6541,30
12,6708,31
2,6883,32
2,7133,33
2,7392,34
2,7642,35
12,7809,36
2,7984,37
2,8234,38
2,8493,39
2,8743,40
12,8910,41
2,9085,42
2,9336,43
2,9594,44
2,9844,45
12,10011,46
2,10186,47
2,10437,48
2,10695,49
2,10945,50
12,11112,51
2,11288,52
2,11538,53
2,11797,54
2,12047,55
12,12214,56
2,12389,57
2,12639,58
2,12898,59
2,13148,60
12,13315,61
2,13490,62
2,13740,63
2,13999,64
2,14249,65
12,14416,66
2,14591,67
2,14841,68
2,15100,69
2,15350,70
12,15517,71
2,15692,72
2,15942,73
2,16201,74
2,16451,75
12,16618,76
2,16793,77
2,17043,78
2,17302,79
2,17552,80
12,17719,81
2,17894,82
2,18144,83
2,18403,84
2,18653,85
12,18820,86
2,18995,87
2,19245,88
2,19505,89
2,19755,90
12,19921,91
2,20097,92
2,20347,93
2,20605,94
2,20856,95
12,21022,96
2,21198,97
2,21448,98
2,21706,99
2,21957,100
12,22123,101
2,22299,102
2,22549,103
2,22808,104
2,23058,105
12,23225,106
2,23400,107
2,23651,108
2,23909,109
2,24159,110
2,24417,111
2,24668,112
11,34478,113
1,34653,114
1,34904,115
1,35162,116
1,35412,117
11,35579,118
1,35754,119
1,36005,120
1,36263,121
1,36513,122
11,36680,123
1,36855,124
1,37106,125
1,37364,126
1,37615,127
11,37782,128
1,37956,129
1,38207,130
1,38465,131
1,38716,132
11,38883,133
1,39057,134
1,39308,135
1,39567,136
1,39817,137
11,39984,138
1,40159,139
1,40409,140
1,40668,141
1,40918,142
11,41085,143
1,41260,144
1,41510,145
1,41769,146
1,42019,147
11,42186,148
1,42361,149
1,42611,150
1,42870,151
1,43120,152
11,43287,153
1,43462,154
1,43712,155
1,43971,156
1,44221,157
11,44388,158
1,44563,159
1,44813,160
1,45072,161
1,45322,162
11,45489,163
1,45665,164
1,45915,165
1,46173,166
1,46423,167
11,46590,168
1,46766,169
1,47016,170
1,47274,171
1,47524,172
11,47691,173
1,47867,174
1,48117,175
1,48376,176
1,48626,177
11,48793,178
1,48968,179
1,49218,180
1,49477,181
1,49727,182
11,49894,183
1,50069,184
1,50319,185
1,50578,186
1,50828,187
11,50995,188
1,51170,189
1,51421,190
1,51679,191
1,51929,192
11,52096,193
1,52271,194
1,52522,195
1,52780,196
1,53030,197
11,53197,198
1,53372,199
1,53623,200
1,53881,201
1,54132,202
11,54298,203
1,54473,204
1,54724,205
1,54982,206
1,55233,207
11,55400,208
1,55574,209
1,55825,210
1,56083,211
1,56334,212
11,56501,213
1,56676,214
1,56926,215
1,57184,216
1,57435,217
11,57602,218
1,57777,219
1,58027,220
1,58285,221
1,58536,222
11,58703,223
1,58878,224
1,59128,225
1,59387,226
1,59637,227
11,59804,228
1,59979,229
1,60229,230
1,60488,231
1,60738,232
11,60905,233
1,61080,234
1,61330,235
1,61589,236
1,61839,237
11,62006,238
1,62182,239
1,62432,240
1,62690,241
1,62940,242
11,63107,243
1,63283,244
1,63533,245
1,63791,246
1,64041,247
11,64208,248
1,64384,249
1,64634,250
1,64893,251
1,65143,252
11,65310,253
1,65485,254
1,65735,255
1,65994,256
1,66244,257
11,66411,258
1,66586,259
1,66836,260
1,67095,261
1,67345,262
1,67604,263
1,67854,264
13,73017,265
3,73193,266
3,73444,267
3,73701,268
3,73952,269
13,74118,270
3,74294,271
3,74544,272
3,74802,273
3,75053,274
13,75220,275
3,75395,276
3,75645,277
3,75904,278
3,76154,279
13,76321,280
3,76496,281
3,76746,282
3,77005,283
3,77255,284
13,77423,285
3,77597,286
3,77847,287
3,78106,288
3,78356,289
13,78523,290
3,78698,291
3,78949,292
3,79207,293
3,79457,294
13,79624,295
3,79800,296
3,80050,297
3,80308,298
3,80558,299
13,80725,300
3,80901,301
3,81151,302
3,81410,303
3,81660,304
13,81827,305
3,82002,306
3,82252,307
3,82511,308
3,82761,309
13,82928,310
3,83103,311
3,83353,312
3,83612,313
3,83862,314
13,84029,315
3,84204,316
3,84454,317
3,84713,318
3,84963,319
13,85130,320
3,85305,321
3,85555,322
3,85814,323
3,86064,324
13,86231,325
3,86406,326
3,86656,327
3,86915,328
3,87165,329
13,87332,330
3,87507,331
3,87757,332
3,88016,333
3,88267,334
13,88433,335
3,88608,336
3,88859,337
3,89117,338
3,89368,339
13,89534,340
3,89710,341
3,89960,342
3,90218,343
3,90469,344
13,90635,345
3,90811,346
3,91061,347
3,91319,348
3,91570,349
13,91737,350
3,91912,351
3,92162,352
3,92421,353
3,92671,354
13,92838,355
3,93013,356
3,93263,357
3,93522,358
3,93772,359
13,93939,360
3,94114,361
3,94364,362
3,94623,363
3,94873,364
13,95040,365
3,95215,366
3,95466,367
3,95724,368
3,95974,369
13,96141,370
3,96316,371
3,96567,372
3,96825,373
3,97076,374
13,97242,375
3,97417,376
3,97668,377
3,97927,378
3,98177,379
13,98344,380
3,98519,381
3,98769,382
3,99028,383
3,99278,384
